date,country,state,lat,long,UID,iso2,iso3,code3,FIPS,region,Combined_Key,confirmed,confirmed_new,deaths,deaths_new
2020-03-09,us,alabama,0.0,0.0,84080001,US,USA,840,80001.0,out-of-al,"Out of AL, Alabama, US",0,0,0,0
2020-03-10,us,alabama,0.0,0.0,84080001,US,USA,840,80001.0,out-of-al,"Out of AL, Alabama, US",0,0,0,0
2020-03-11,us,alabama,0.0,0.0,84080001,US,USA,840,80001.0,out-of-al,"Out of AL, Alabama, US",0,0,0,0
2020-03-12,us,alabama,0.0,0.0,84080001,US,USA,840,80001.0,out-of-al,"Out of AL, Alabama, US",0,0,0,0
2020-03-13,us,alabama,0.0,0.0,84080001,US,USA,840,80001.0,out-of-al,"Out of AL, Alabama, US",0,0,0,0
2020-03-14,us,alabama,0.0,0.0,84080001,US,USA,840,80001.0,out-of-al,"Out of AL, Alabama, US",0,0,0,0
2020-03-15,us,alabama,0.0,0.0,84080001,US,USA,840,80001.0,out-of-al,"Out of AL, Alabama, US",0,0,0,0
2020-03-16,us,alabama,0.0,0.0,84080001,US,USA,840,80001.0,out-of-al,"Out of AL, Alabama, US",0,0,0,0
2020-03-17,us,alabama,0.0,0.0,84080001,US,USA,840,80001.0,out-of-al,"Out of AL, Alabama, US",0,0,0,0
2020-03-18,us,alabama,0.0,0.0,84080001,US,USA,840,80001.0,out-of-al,"Out of AL, Alabama, US",0,0,0,0
2020-03-19,us,alabama,0.0,0.0,84080001,US,USA,840,80001.0,out-of-al,"Out of AL, Alabama, US",0,0,0,0
2020-03-20,us,alabama,0.0,0.0,84080001,US,USA,840,80001.0,out-of-al,"Out of AL, Alabama, US",0,0,0,0
2020-03-21,us,alabama,0.0,0.0,84080001,US,USA,840,80001.0,out-of-al,"Out of AL, Alabama, US",0,0,0,0
2020-03-22,us,alabama,0.0,0.0,84080001,US,USA,840,80001.0,out-of-al,"Out of AL, Alabama, US",0,0,0,0
2020-03-23,us,alabama,0.0,0.0,84080001,US,USA,840,80001.0,out-of-al,"Out of AL, Alabama, US",0,0,0,0
2020-03-24,us,alabama,0.0,0.0,84080001,US,USA,840,80001.0,out-of-al,"Out of AL, Alabama, US",0,0,0,0
2020-03-25,us,alabama,0.0,0.0,84080001,US,USA,840,80001.0,out-of-al,"Out of AL, Alabama, US",0,0,0,0
2020-03-26,us,alabama,0.0,0.0,84080001,US,USA,840,80001.0,out-of-al,"Out of AL, Alabama, US",0,0,0,0
2020-03-27,us,alabama,0.0,0.0,84080001,US,USA,840,80001.0,out-of-al,"Out of AL, Alabama, US",0,0,0,0
2020-03-28,us,alabama,0.0,0.0,84080001,US,USA,840,80001.0,out-of-al,"Out of AL, Alabama, US",0,0,0,0
2020-03-29,us,alabama,0.0,0.0,84080001,US,USA,840,80001.0,out-of-al,"Out of AL, Alabama, US",0,0,0,0
2020-03-30,us,alabama,0.0,0.0,84080001,US,USA,840,80001.0,out-of-al,"Out of AL, Alabama, US",0,0,0,0
2020-03-31,us,alabama,0.0,0.0,84080001,US,USA,840,80001.0,out-of-al,"Out of AL, Alabama, US",0,0,0,0
2020-04-01,us,alabama,0.0,0.0,84080001,US,USA,840,80001.0,out-of-al,"Out of AL, Alabama, US",0,0,0,0
2020-04-02,us,alabama,0.0,0.0,84080001,US,USA,840,80001.0,out-of-al,"Out of AL, Alabama, US",0,0,0,0
2020-04-03,us,alabama,0.0,0.0,84080001,US,USA,840,80001.0,out-of-al,"Out of AL, Alabama, US",0,0,0,0
2020-04-04,us,alabama,0.0,0.0,84080001,US,USA,840,80001.0,out-of-al,"Out of AL, Alabama, US",0,0,0,0
2020-04-05,us,alabama,0.0,0.0,84080001,US,USA,840,80001.0,out-of-al,"Out of AL, Alabama, US",0,0,0,0
2020-04-06,us,alabama,0.0,0.0,84080001,US,USA,840,80001.0,out-of-al,"Out of AL, Alabama, US",0,0,0,0
2020-01-22,us,alabama,0.0,0.0,84090001,US,USA,840,90001.0,unassigned,"Unassigned, Alabama, US",0,0,0,0
2020-01-23,us,alabama,0.0,0.0,84090001,US,USA,840,90001.0,unassigned,"Unassigned, Alabama, US",0,0,0,0
2020-01-24,us,alabama,0.0,0.0,84090001,US,USA,840,90001.0,unassigned,"Unassigned, Alabama, US",0,0,0,0
2020-01-25,us,alabama,0.0,0.0,84090001,US,USA,840,90001.0,unassigned,"Unassigned, Alabama, US",0,0,0,0
2020-01-26,us,alabama,0.0,0.0,84090001,US,USA,840,90001.0,unassigned,"Unassigned, Alabama, US",0,0,0,0
2020-01-27,us,alabama,0.0,0.0,84090001,US,USA,840,90001.0,unassigned,"Unassigned, Alabama, US",0,0,0,0
2020-01-28,us,alabama,0.0,0.0,84090001,US,USA,840,90001.0,unassigned,"Unassigned, Alabama, US",0,0,0,0
2020-01-29,us,alabama,0.0,0.0,84090001,US,USA,840,90001.0,unassigned,"Unassigned, Alabama, US",0,0,0,0
2020-01-30,us,alabama,0.0,0.0,84090001,US,USA,840,90001.0,unassigned,"Unassigned, Alabama, US",0,0,0,0
2020-01-31,us,alabama,0.0,0.0,84090001,US,USA,840,90001.0,unassigned,"Unassigned, Alabama, US",0,0,0,0
2020-02-01,us,alabama,0.0,0.0,84090001,US,USA,840,90001.0,unassigned,"Unassigned, Alabama, US",0,0,0,0
2020-02-02,us,alabama,0.0,0.0,84090001,US,USA,840,90001.0,unassigned,"Unassigned, Alabama, US",0,0,0,0
2020-02-03,us,alabama,0.0,0.0,84090001,US,USA,840,90001.0,unassigned,"Unassigned, Alabama, US",0,0,0,0
2020-02-04,us,alabama,0.0,0.0,84090001,US,USA,840,90001.0,unassigned,"Unassigned, Alabama, US",0,0,0,0
2020-02-05,us,alabama,0.0,0.0,84090001,US,USA,840,90001.0,unassigned,"Unassigned, Alabama, US",0,0,0,0
2020-02-06,us,alabama,0.0,0.0,84090001,US,USA,840,90001.0,unassigned,"Unassigned, Alabama, US",0,0,0,0
2020-02-07,us,alabama,0.0,0.0,84090001,US,USA,840,90001.0,unassigned,"Unassigned, Alabama, US",0,0,0,0
2020-02-08,us,alabama,0.0,0.0,84090001,US,USA,840,90001.0,unassigned,"Unassigned, Alabama, US",0,0,0,0
2020-02-09,us,alabama,0.0,0.0,84090001,US,USA,840,90001.0,unassigned,"Unassigned, Alabama, US",0,0,0,0
2020-02-10,us,alabama,0.0,0.0,84090001,US,USA,840,90001.0,unassigned,"Unassigned, Alabama, US",0,0,0,0
2020-02-11,us,alabama,0.0,0.0,84090001,US,USA,840,90001.0,unassigned,"Unassigned, Alabama, US",0,0,0,0
2020-02-12,us,alabama,0.0,0.0,84090001,US,USA,840,90001.0,unassigned,"Unassigned, Alabama, US",0,0,0,0
2020-02-13,us,alabama,0.0,0.0,84090001,US,USA,840,90001.0,unassigned,"Unassigned, Alabama, US",0,0,0,0
2020-02-14,us,alabama,0.0,0.0,84090001,US,USA,840,90001.0,unassigned,"Unassigned, Alabama, US",0,0,0,0
2020-02-15,us,alabama,0.0,0.0,84090001,US,USA,840,90001.0,unassigned,"Unassigned, Alabama, US",0,0,0,0
2020-02-16,us,alabama,0.0,0.0,84090001,US,USA,840,90001.0,unassigned,"Unassigned, Alabama, US",0,0,0,0
2020-02-17,us,alabama,0.0,0.0,84090001,US,USA,840,90001.0,unassigned,"Unassigned, Alabama, US",0,0,0,0
2020-02-18,us,alabama,0.0,0.0,84090001,US,USA,840,90001.0,unassigned,"Unassigned, Alabama, US",0,0,0,0
2020-02-19,us,alabama,0.0,0.0,84090001,US,USA,840,90001.0,unassigned,"Unassigned, Alabama, US",0,0,0,0
2020-02-20,us,alabama,0.0,0.0,84090001,US,USA,840,90001.0,unassigned,"Unassigned, Alabama, US",0,0,0,0
2020-02-21,us,alabama,0.0,0.0,84090001,US,USA,840,90001.0,unassigned,"Unassigned, Alabama, US",0,0,0,0
2020-02-22,us,alabama,0.0,0.0,84090001,US,USA,840,90001.0,unassigned,"Unassigned, Alabama, US",0,0,0,0
2020-02-23,us,alabama,0.0,0.0,84090001,US,USA,840,90001.0,unassigned,"Unassigned, Alabama, US",0,0,0,0
2020-02-24,us,alabama,0.0,0.0,84090001,US,USA,840,90001.0,unassigned,"Unassigned, Alabama, US",0,0,0,0
2020-02-25,us,alabama,0.0,0.0,84090001,US,USA,840,90001.0,unassigned,"Unassigned, Alabama, US",0,0,0,0
2020-02-26,us,alabama,0.0,0.0,84090001,US,USA,840,90001.0,unassigned,"Unassigned, Alabama, US",0,0,0,0
2020-02-27,us,alabama,0.0,0.0,84090001,US,USA,840,90001.0,unassigned,"Unassigned, Alabama, US",0,0,0,0
2020-02-28,us,alabama,0.0,0.0,84090001,US,USA,840,90001.0,unassigned,"Unassigned, Alabama, US",0,0,0,0
2020-02-29,us,alabama,0.0,0.0,84090001,US,USA,840,90001.0,unassigned,"Unassigned, Alabama, US",0,0,0,0
2020-03-01,us,alabama,0.0,0.0,84090001,US,USA,840,90001.0,unassigned,"Unassigned, Alabama, US",0,0,0,0
2020-03-02,us,alabama,0.0,0.0,84090001,US,USA,840,90001.0,unassigned,"Unassigned, Alabama, US",0,0,0,0
2020-03-03,us,alabama,0.0,0.0,84090001,US,USA,840,90001.0,unassigned,"Unassigned, Alabama, US",0,0,0,0
2020-03-04,us,alabama,0.0,0.0,84090001,US,USA,840,90001.0,unassigned,"Unassigned, Alabama, US",0,0,0,0
2020-03-05,us,alabama,0.0,0.0,84090001,US,USA,840,90001.0,unassigned,"Unassigned, Alabama, US",0,0,0,0
2020-03-06,us,alabama,0.0,0.0,84090001,US,USA,840,90001.0,unassigned,"Unassigned, Alabama, US",0,0,0,0
2020-03-07,us,alabama,0.0,0.0,84090001,US,USA,840,90001.0,unassigned,"Unassigned, Alabama, US",0,0,0,0
2020-03-08,us,alabama,0.0,0.0,84090001,US,USA,840,90001.0,unassigned,"Unassigned, Alabama, US",0,0,0,0
2020-03-09,us,alabama,0.0,0.0,84090001,US,USA,840,90001.0,unassigned,"Unassigned, Alabama, US",0,0,0,0
2020-03-10,us,alabama,0.0,0.0,84090001,US,USA,840,90001.0,unassigned,"Unassigned, Alabama, US",0,0,0,0
2020-03-11,us,alabama,0.0,0.0,84090001,US,USA,840,90001.0,unassigned,"Unassigned, Alabama, US",0,0,0,0
2020-03-12,us,alabama,0.0,0.0,84090001,US,USA,840,90001.0,unassigned,"Unassigned, Alabama, US",0,0,0,0
2020-03-13,us,alabama,0.0,0.0,84090001,US,USA,840,90001.0,unassigned,"Unassigned, Alabama, US",3,3,0,0
2020-03-14,us,alabama,0.0,0.0,84090001,US,USA,840,90001.0,unassigned,"Unassigned, Alabama, US",1,-2,0,0
2020-03-15,us,alabama,0.0,0.0,84090001,US,USA,840,90001.0,unassigned,"Unassigned, Alabama, US",0,-1,0,0
2020-03-16,us,alabama,0.0,0.0,84090001,US,USA,840,90001.0,unassigned,"Unassigned, Alabama, US",0,0,0,0
2020-03-17,us,alabama,0.0,0.0,84090001,US,USA,840,90001.0,unassigned,"Unassigned, Alabama, US",0,0,0,0
2020-03-18,us,alabama,0.0,0.0,84090001,US,USA,840,90001.0,unassigned,"Unassigned, Alabama, US",0,0,0,0
2020-03-19,us,alabama,0.0,0.0,84090001,US,USA,840,90001.0,unassigned,"Unassigned, Alabama, US",0,0,0,0
2020-03-20,us,alabama,0.0,0.0,84090001,US,USA,840,90001.0,unassigned,"Unassigned, Alabama, US",0,0,0,0
2020-03-21,us,alabama,0.0,0.0,84090001,US,USA,840,90001.0,unassigned,"Unassigned, Alabama, US",0,0,0,0
2020-03-22,us,alabama,0.0,0.0,84090001,US,USA,840,90001.0,unassigned,"Unassigned, Alabama, US",0,0,0,0
2020-03-23,us,alabama,0.0,0.0,84090001,US,USA,840,90001.0,unassigned,"Unassigned, Alabama, US",0,0,0,0
2020-03-24,us,alabama,0.0,0.0,84090001,US,USA,840,90001.0,unassigned,"Unassigned, Alabama, US",0,0,0,0
2020-03-25,us,alabama,0.0,0.0,84090001,US,USA,840,90001.0,unassigned,"Unassigned, Alabama, US",0,0,0,0
2020-03-26,us,alabama,0.0,0.0,84090001,US,USA,840,90001.0,unassigned,"Unassigned, Alabama, US",0,0,0,0
2020-03-27,us,alabama,0.0,0.0,84090001,US,USA,840,90001.0,unassigned,"Unassigned, Alabama, US",0,0,0,0
2020-03-28,us,alabama,0.0,0.0,84090001,US,USA,840,90001.0,unassigned,"Unassigned, Alabama, US",0,0,0,0
2020-03-29,us,alabama,0.0,0.0,84090001,US,USA,840,90001.0,unassigned,"Unassigned, Alabama, US",0,0,0,0
2020-03-30,us,alabama,0.0,0.0,84090001,US,USA,840,90001.0,unassigned,"Unassigned, Alabama, US",0,0,0,0
2020-03-31,us,alabama,0.0,0.0,84090001,US,USA,840,90001.0,unassigned,"Unassigned, Alabama, US",0,0,8,8
2020-04-01,us,alabama,0.0,0.0,84090001,US,USA,840,90001.0,unassigned,"Unassigned, Alabama, US",0,0,0,-8
2020-04-02,us,alabama,0.0,0.0,84090001,US,USA,840,90001.0,unassigned,"Unassigned, Alabama, US",0,0,5,5
2020-04-03,us,alabama,0.0,0.0,84090001,US,USA,840,90001.0,unassigned,"Unassigned, Alabama, US",0,0,0,-5
2020-04-04,us,alabama,0.0,0.0,84090001,US,USA,840,90001.0,unassigned,"Unassigned, Alabama, US",0,0,0,0
2020-04-05,us,alabama,0.0,0.0,84090001,US,USA,840,90001.0,unassigned,"Unassigned, Alabama, US",0,0,0,0
2020-04-06,us,alabama,0.0,0.0,84090001,US,USA,840,90001.0,unassigned,"Unassigned, Alabama, US",0,0,0,0
2020-01-22,us,alabama,30.72774991,-87.72207058,84001003,US,USA,840,1003.0,baldwin,"Baldwin, Alabama, US",0,0,0,0
2020-01-23,us,alabama,30.72774991,-87.72207058,84001003,US,USA,840,1003.0,baldwin,"Baldwin, Alabama, US",0,0,0,0
2020-01-24,us,alabama,30.72774991,-87.72207058,84001003,US,USA,840,1003.0,baldwin,"Baldwin, Alabama, US",0,0,0,0
2020-01-25,us,alabama,30.72774991,-87.72207058,84001003,US,USA,840,1003.0,baldwin,"Baldwin, Alabama, US",0,0,0,0
2020-01-26,us,alabama,30.72774991,-87.72207058,84001003,US,USA,840,1003.0,baldwin,"Baldwin, Alabama, US",0,0,0,0
2020-01-27,us,alabama,30.72774991,-87.72207058,84001003,US,USA,840,1003.0,baldwin,"Baldwin, Alabama, US",0,0,0,0
2020-01-28,us,alabama,30.72774991,-87.72207058,84001003,US,USA,840,1003.0,baldwin,"Baldwin, Alabama, US",0,0,0,0
2020-01-29,us,alabama,30.72774991,-87.72207058,84001003,US,USA,840,1003.0,baldwin,"Baldwin, Alabama, US",0,0,0,0
2020-01-30,us,alabama,30.72774991,-87.72207058,84001003,US,USA,840,1003.0,baldwin,"Baldwin, Alabama, US",0,0,0,0
2020-01-31,us,alabama,30.72774991,-87.72207058,84001003,US,USA,840,1003.0,baldwin,"Baldwin, Alabama, US",0,0,0,0
2020-02-01,us,alabama,30.72774991,-87.72207058,84001003,US,USA,840,1003.0,baldwin,"Baldwin, Alabama, US",0,0,0,0
2020-02-02,us,alabama,30.72774991,-87.72207058,84001003,US,USA,840,1003.0,baldwin,"Baldwin, Alabama, US",0,0,0,0
2020-02-03,us,alabama,30.72774991,-87.72207058,84001003,US,USA,840,1003.0,baldwin,"Baldwin, Alabama, US",0,0,0,0
2020-02-04,us,alabama,30.72774991,-87.72207058,84001003,US,USA,840,1003.0,baldwin,"Baldwin, Alabama, US",0,0,0,0
2020-02-05,us,alabama,30.72774991,-87.72207058,84001003,US,USA,840,1003.0,baldwin,"Baldwin, Alabama, US",0,0,0,0
2020-02-06,us,alabama,30.72774991,-87.72207058,84001003,US,USA,840,1003.0,baldwin,"Baldwin, Alabama, US",0,0,0,0
2020-02-07,us,alabama,30.72774991,-87.72207058,84001003,US,USA,840,1003.0,baldwin,"Baldwin, Alabama, US",0,0,0,0
2020-02-08,us,alabama,30.72774991,-87.72207058,84001003,US,USA,840,1003.0,baldwin,"Baldwin, Alabama, US",0,0,0,0
2020-02-09,us,alabama,30.72774991,-87.72207058,84001003,US,USA,840,1003.0,baldwin,"Baldwin, Alabama, US",0,0,0,0
2020-02-10,us,alabama,30.72774991,-87.72207058,84001003,US,USA,840,1003.0,baldwin,"Baldwin, Alabama, US",0,0,0,0
2020-02-11,us,alabama,30.72774991,-87.72207058,84001003,US,USA,840,1003.0,baldwin,"Baldwin, Alabama, US",0,0,0,0
2020-02-12,us,alabama,30.72774991,-87.72207058,84001003,US,USA,840,1003.0,baldwin,"Baldwin, Alabama, US",0,0,0,0
2020-02-13,us,alabama,30.72774991,-87.72207058,84001003,US,USA,840,1003.0,baldwin,"Baldwin, Alabama, US",0,0,0,0
2020-02-14,us,alabama,30.72774991,-87.72207058,84001003,US,USA,840,1003.0,baldwin,"Baldwin, Alabama, US",0,0,0,0
2020-02-15,us,alabama,30.72774991,-87.72207058,84001003,US,USA,840,1003.0,baldwin,"Baldwin, Alabama, US",0,0,0,0
2020-02-16,us,alabama,30.72774991,-87.72207058,84001003,US,USA,840,1003.0,baldwin,"Baldwin, Alabama, US",0,0,0,0
2020-02-17,us,alabama,30.72774991,-87.72207058,84001003,US,USA,840,1003.0,baldwin,"Baldwin, Alabama, US",0,0,0,0
2020-02-18,us,alabama,30.72774991,-87.72207058,84001003,US,USA,840,1003.0,baldwin,"Baldwin, Alabama, US",0,0,0,0
2020-02-19,us,alabama,30.72774991,-87.72207058,84001003,US,USA,840,1003.0,baldwin,"Baldwin, Alabama, US",0,0,0,0
2020-02-20,us,alabama,30.72774991,-87.72207058,84001003,US,USA,840,1003.0,baldwin,"Baldwin, Alabama, US",0,0,0,0
2020-02-21,us,alabama,30.72774991,-87.72207058,84001003,US,USA,840,1003.0,baldwin,"Baldwin, Alabama, US",0,0,0,0
2020-02-22,us,alabama,30.72774991,-87.72207058,84001003,US,USA,840,1003.0,baldwin,"Baldwin, Alabama, US",0,0,0,0
2020-02-23,us,alabama,30.72774991,-87.72207058,84001003,US,USA,840,1003.0,baldwin,"Baldwin, Alabama, US",0,0,0,0
2020-02-24,us,alabama,30.72774991,-87.72207058,84001003,US,USA,840,1003.0,baldwin,"Baldwin, Alabama, US",0,0,0,0
2020-02-25,us,alabama,30.72774991,-87.72207058,84001003,US,USA,840,1003.0,baldwin,"Baldwin, Alabama, US",0,0,0,0
2020-02-26,us,alabama,30.72774991,-87.72207058,84001003,US,USA,840,1003.0,baldwin,"Baldwin, Alabama, US",0,0,0,0
2020-02-27,us,alabama,30.72774991,-87.72207058,84001003,US,USA,840,1003.0,baldwin,"Baldwin, Alabama, US",0,0,0,0
2020-02-28,us,alabama,30.72774991,-87.72207058,84001003,US,USA,840,1003.0,baldwin,"Baldwin, Alabama, US",0,0,0,0
2020-02-29,us,alabama,30.72774991,-87.72207058,84001003,US,USA,840,1003.0,baldwin,"Baldwin, Alabama, US",0,0,0,0
2020-03-01,us,alabama,30.72774991,-87.72207058,84001003,US,USA,840,1003.0,baldwin,"Baldwin, Alabama, US",0,0,0,0
2020-03-02,us,alabama,30.72774991,-87.72207058,84001003,US,USA,840,1003.0,baldwin,"Baldwin, Alabama, US",0,0,0,0
2020-03-03,us,alabama,30.72774991,-87.72207058,84001003,US,USA,840,1003.0,baldwin,"Baldwin, Alabama, US",0,0,0,0
2020-03-04,us,alabama,30.72774991,-87.72207058,84001003,US,USA,840,1003.0,baldwin,"Baldwin, Alabama, US",0,0,0,0
2020-03-05,us,alabama,30.72774991,-87.72207058,84001003,US,USA,840,1003.0,baldwin,"Baldwin, Alabama, US",0,0,0,0
2020-03-06,us,alabama,30.72774991,-87.72207058,84001003,US,USA,840,1003.0,baldwin,"Baldwin, Alabama, US",0,0,0,0
2020-03-07,us,alabama,30.72774991,-87.72207058,84001003,US,USA,840,1003.0,baldwin,"Baldwin, Alabama, US",0,0,0,0
2020-03-08,us,alabama,30.72774991,-87.72207058,84001003,US,USA,840,1003.0,baldwin,"Baldwin, Alabama, US",0,0,0,0
2020-03-09,us,alabama,30.72774991,-87.72207058,84001003,US,USA,840,1003.0,baldwin,"Baldwin, Alabama, US",0,0,0,0
2020-03-10,us,alabama,30.72774991,-87.72207058,84001003,US,USA,840,1003.0,baldwin,"Baldwin, Alabama, US",0,0,0,0
2020-03-11,us,alabama,30.72774991,-87.72207058,84001003,US,USA,840,1003.0,baldwin,"Baldwin, Alabama, US",0,0,0,0
2020-03-12,us,alabama,30.72774991,-87.72207058,84001003,US,USA,840,1003.0,baldwin,"Baldwin, Alabama, US",0,0,0,0
2020-03-13,us,alabama,30.72774991,-87.72207058,84001003,US,USA,840,1003.0,baldwin,"Baldwin, Alabama, US",0,0,0,0
2020-03-14,us,alabama,30.72774991,-87.72207058,84001003,US,USA,840,1003.0,baldwin,"Baldwin, Alabama, US",0,0,0,0
2020-03-15,us,alabama,30.72774991,-87.72207058,84001003,US,USA,840,1003.0,baldwin,"Baldwin, Alabama, US",1,1,0,0
2020-03-16,us,alabama,30.72774991,-87.72207058,84001003,US,USA,840,1003.0,baldwin,"Baldwin, Alabama, US",1,0,0,0
2020-03-17,us,alabama,30.72774991,-87.72207058,84001003,US,USA,840,1003.0,baldwin,"Baldwin, Alabama, US",1,0,0,0
2020-03-18,us,alabama,30.72774991,-87.72207058,84001003,US,USA,840,1003.0,baldwin,"Baldwin, Alabama, US",1,0,0,0
2020-03-19,us,alabama,30.72774991,-87.72207058,84001003,US,USA,840,1003.0,baldwin,"Baldwin, Alabama, US",1,0,0,0
