date,country,state,lat,long,UID,iso2,iso3,code3,FIPS,region,Combined_Key,confirmed,confirmed_new,deaths,deaths_new
2020-01-22,us,california,35.38822029,-120.4039028,84006079,US,USA,840,6079.0,san-luis-obispo,"San Luis Obispo, California, US",0,0,0,0
2020-01-23,us,california,35.38822029,-120.4039028,84006079,US,USA,840,6079.0,san-luis-obispo,"San Luis Obispo, California, US",0,0,0,0
2020-01-24,us,california,35.38822029,-120.4039028,84006079,US,USA,840,6079.0,san-luis-obispo,"San Luis Obispo, California, US",0,0,0,0
2020-01-25,us,california,35.38822029,-120.4039028,84006079,US,USA,840,6079.0,san-luis-obispo,"San Luis Obispo, California, US",0,0,0,0
2020-01-26,us,california,35.38822029,-120.4039028,84006079,US,USA,840,6079.0,san-luis-obispo,"San Luis Obispo, California, US",0,0,0,0
2020-01-27,us,california,35.38822029,-120.4039028,84006079,US,USA,840,6079.0,san-luis-obispo,"San Luis Obispo, California, US",0,0,0,0
2020-01-28,us,california,35.38822029,-120.4039028,84006079,US,USA,840,6079.0,san-luis-obispo,"San Luis Obispo, California, US",0,0,0,0
2020-01-29,us,california,35.38822029,-120.4039028,84006079,US,USA,840,6079.0,san-luis-obispo,"San Luis Obispo, California, US",0,0,0,0
2020-01-30,us,california,35.38822029,-120.4039028,84006079,US,USA,840,6079.0,san-luis-obispo,"San Luis Obispo, California, US",0,0,0,0
2020-01-31,us,california,35.38822029,-120.4039028,84006079,US,USA,840,6079.0,san-luis-obispo,"San Luis Obispo, California, US",0,0,0,0
2020-02-01,us,california,35.38822029,-120.4039028,84006079,US,USA,840,6079.0,san-luis-obispo,"San Luis Obispo, California, US",0,0,0,0
2020-02-02,us,california,35.38822029,-120.4039028,84006079,US,USA,840,6079.0,san-luis-obispo,"San Luis Obispo, California, US",0,0,0,0
2020-02-03,us,california,35.38822029,-120.4039028,84006079,US,USA,840,6079.0,san-luis-obispo,"San Luis Obispo, California, US",0,0,0,0
2020-02-04,us,california,35.38822029,-120.4039028,84006079,US,USA,840,6079.0,san-luis-obispo,"San Luis Obispo, California, US",0,0,0,0
2020-02-05,us,california,35.38822029,-120.4039028,84006079,US,USA,840,6079.0,san-luis-obispo,"San Luis Obispo, California, US",0,0,0,0
2020-02-06,us,california,35.38822029,-120.4039028,84006079,US,USA,840,6079.0,san-luis-obispo,"San Luis Obispo, California, US",0,0,0,0
2020-02-07,us,california,35.38822029,-120.4039028,84006079,US,USA,840,6079.0,san-luis-obispo,"San Luis Obispo, California, US",0,0,0,0
2020-02-08,us,california,35.38822029,-120.4039028,84006079,US,USA,840,6079.0,san-luis-obispo,"San Luis Obispo, California, US",0,0,0,0
2020-02-09,us,california,35.38822029,-120.4039028,84006079,US,USA,840,6079.0,san-luis-obispo,"San Luis Obispo, California, US",0,0,0,0
2020-02-10,us,california,35.38822029,-120.4039028,84006079,US,USA,840,6079.0,san-luis-obispo,"San Luis Obispo, California, US",0,0,0,0
2020-02-11,us,california,35.38822029,-120.4039028,84006079,US,USA,840,6079.0,san-luis-obispo,"San Luis Obispo, California, US",0,0,0,0
2020-02-12,us,california,35.38822029,-120.4039028,84006079,US,USA,840,6079.0,san-luis-obispo,"San Luis Obispo, California, US",0,0,0,0
2020-02-13,us,california,35.38822029,-120.4039028,84006079,US,USA,840,6079.0,san-luis-obispo,"San Luis Obispo, California, US",0,0,0,0
2020-02-14,us,california,35.38822029,-120.4039028,84006079,US,USA,840,6079.0,san-luis-obispo,"San Luis Obispo, California, US",0,0,0,0
2020-02-15,us,california,35.38822029,-120.4039028,84006079,US,USA,840,6079.0,san-luis-obispo,"San Luis Obispo, California, US",0,0,0,0
2020-02-16,us,california,35.38822029,-120.4039028,84006079,US,USA,840,6079.0,san-luis-obispo,"San Luis Obispo, California, US",0,0,0,0
2020-02-17,us,california,35.38822029,-120.4039028,84006079,US,USA,840,6079.0,san-luis-obispo,"San Luis Obispo, California, US",0,0,0,0
2020-02-18,us,california,35.38822029,-120.4039028,84006079,US,USA,840,6079.0,san-luis-obispo,"San Luis Obispo, California, US",0,0,0,0
2020-02-19,us,california,35.38822029,-120.4039028,84006079,US,USA,840,6079.0,san-luis-obispo,"San Luis Obispo, California, US",0,0,0,0
2020-02-20,us,california,35.38822029,-120.4039028,84006079,US,USA,840,6079.0,san-luis-obispo,"San Luis Obispo, California, US",0,0,0,0
2020-02-21,us,california,35.38822029,-120.4039028,84006079,US,USA,840,6079.0,san-luis-obispo,"San Luis Obispo, California, US",0,0,0,0
2020-02-22,us,california,35.38822029,-120.4039028,84006079,US,USA,840,6079.0,san-luis-obispo,"San Luis Obispo, California, US",0,0,0,0
2020-02-23,us,california,35.38822029,-120.4039028,84006079,US,USA,840,6079.0,san-luis-obispo,"San Luis Obispo, California, US",0,0,0,0
2020-02-24,us,california,35.38822029,-120.4039028,84006079,US,USA,840,6079.0,san-luis-obispo,"San Luis Obispo, California, US",0,0,0,0
2020-02-25,us,california,35.38822029,-120.4039028,84006079,US,USA,840,6079.0,san-luis-obispo,"San Luis Obispo, California, US",0,0,0,0
2020-02-26,us,california,35.38822029,-120.4039028,84006079,US,USA,840,6079.0,san-luis-obispo,"San Luis Obispo, California, US",0,0,0,0
2020-02-27,us,california,35.38822029,-120.4039028,84006079,US,USA,840,6079.0,san-luis-obispo,"San Luis Obispo, California, US",0,0,0,0
2020-02-28,us,california,35.38822029,-120.4039028,84006079,US,USA,840,6079.0,san-luis-obispo,"San Luis Obispo, California, US",0,0,0,0
2020-02-29,us,california,35.38822029,-120.4039028,84006079,US,USA,840,6079.0,san-luis-obispo,"San Luis Obispo, California, US",0,0,0,0
2020-03-01,us,california,35.38822029,-120.4039028,84006079,US,USA,840,6079.0,san-luis-obispo,"San Luis Obispo, California, US",0,0,0,0
2020-03-02,us,california,35.38822029,-120.4039028,84006079,US,USA,840,6079.0,san-luis-obispo,"San Luis Obispo, California, US",0,0,0,0
2020-03-03,us,california,35.38822029,-120.4039028,84006079,US,USA,840,6079.0,san-luis-obispo,"San Luis Obispo, California, US",0,0,0,0
2020-03-04,us,california,35.38822029,-120.4039028,84006079,US,USA,840,6079.0,san-luis-obispo,"San Luis Obispo, California, US",0,0,0,0
2020-03-05,us,california,35.38822029,-120.4039028,84006079,US,USA,840,6079.0,san-luis-obispo,"San Luis Obispo, California, US",0,0,0,0
2020-03-06,us,california,35.38822029,-120.4039028,84006079,US,USA,840,6079.0,san-luis-obispo,"San Luis Obispo, California, US",0,0,0,0
2020-03-07,us,california,35.38822029,-120.4039028,84006079,US,USA,840,6079.0,san-luis-obispo,"San Luis Obispo, California, US",0,0,0,0
2020-03-08,us,california,35.38822029,-120.4039028,84006079,US,USA,840,6079.0,san-luis-obispo,"San Luis Obispo, California, US",0,0,0,0
2020-03-09,us,california,35.38822029,-120.4039028,84006079,US,USA,840,6079.0,san-luis-obispo,"San Luis Obispo, California, US",0,0,0,0
2020-03-10,us,california,35.38822029,-120.4039028,84006079,US,USA,840,6079.0,san-luis-obispo,"San Luis Obispo, California, US",0,0,0,0
2020-03-11,us,california,35.38822029,-120.4039028,84006079,US,USA,840,6079.0,san-luis-obispo,"San Luis Obispo, California, US",0,0,0,0
2020-03-12,us,california,35.38822029,-120.4039028,84006079,US,USA,840,6079.0,san-luis-obispo,"San Luis Obispo, California, US",0,0,0,0
2020-03-13,us,california,35.38822029,-120.4039028,84006079,US,USA,840,6079.0,san-luis-obispo,"San Luis Obispo, California, US",0,0,0,0
2020-03-14,us,california,35.38822029,-120.4039028,84006079,US,USA,840,6079.0,san-luis-obispo,"San Luis Obispo, California, US",0,0,0,0
2020-03-15,us,california,35.38822029,-120.4039028,84006079,US,USA,840,6079.0,san-luis-obispo,"San Luis Obispo, California, US",1,1,0,0
2020-03-16,us,california,35.38822029,-120.4039028,84006079,US,USA,840,6079.0,san-luis-obispo,"San Luis Obispo, California, US",3,2,0,0
2020-03-17,us,california,35.38822029,-120.4039028,84006079,US,USA,840,6079.0,san-luis-obispo,"San Luis Obispo, California, US",3,0,0,0
2020-03-18,us,california,35.38822029,-120.4039028,84006079,US,USA,840,6079.0,san-luis-obispo,"San Luis Obispo, California, US",7,4,0,0
2020-03-19,us,california,35.38822029,-120.4039028,84006079,US,USA,840,6079.0,san-luis-obispo,"San Luis Obispo, California, US",13,6,0,0
2020-03-20,us,california,35.38822029,-120.4039028,84006079,US,USA,840,6079.0,san-luis-obispo,"San Luis Obispo, California, US",16,3,0,0
2020-03-21,us,california,35.38822029,-120.4039028,84006079,US,USA,840,6079.0,san-luis-obispo,"San Luis Obispo, California, US",21,5,0,0
2020-03-22,us,california,35.38822029,-120.4039028,84006079,US,USA,840,6079.0,san-luis-obispo,"San Luis Obispo, California, US",27,6,0,0
2020-03-23,us,california,35.38822029,-120.4039028,84006079,US,USA,840,6079.0,san-luis-obispo,"San Luis Obispo, California, US",27,0,0,0
2020-03-24,us,california,35.38822029,-120.4039028,84006079,US,USA,840,6079.0,san-luis-obispo,"San Luis Obispo, California, US",42,15,0,0
2020-03-25,us,california,35.38822029,-120.4039028,84006079,US,USA,840,6079.0,san-luis-obispo,"San Luis Obispo, California, US",46,4,0,0
2020-03-26,us,california,35.38822029,-120.4039028,84006079,US,USA,840,6079.0,san-luis-obispo,"San Luis Obispo, California, US",54,8,0,0
2020-03-27,us,california,35.38822029,-120.4039028,84006079,US,USA,840,6079.0,san-luis-obispo,"San Luis Obispo, California, US",59,5,0,0
2020-03-28,us,california,35.38822029,-120.4039028,84006079,US,USA,840,6079.0,san-luis-obispo,"San Luis Obispo, California, US",67,8,0,0
2020-03-29,us,california,35.38822029,-120.4039028,84006079,US,USA,840,6079.0,san-luis-obispo,"San Luis Obispo, California, US",67,0,0,0
2020-03-30,us,california,35.38822029,-120.4039028,84006079,US,USA,840,6079.0,san-luis-obispo,"San Luis Obispo, California, US",71,4,0,0
2020-03-31,us,california,35.38822029,-120.4039028,84006079,US,USA,840,6079.0,san-luis-obispo,"San Luis Obispo, California, US",80,9,0,0
