state,country,lat,long,date,confirmed,deaths,recovered
xinjiang,china,41.1129,85.2401,2020-01-22,0,0,0.0
xinjiang,china,41.1129,85.2401,2020-01-23,2,0,0.0
xinjiang,china,41.1129,85.2401,2020-01-24,2,0,0.0
xinjiang,china,41.1129,85.2401,2020-01-25,3,0,0.0
xinjiang,china,41.1129,85.2401,2020-01-26,4,0,0.0
xinjiang,china,41.1129,85.2401,2020-01-27,5,0,0.0
xinjiang,china,41.1129,85.2401,2020-01-28,10,0,0.0
xinjiang,china,41.1129,85.2401,2020-01-29,13,0,0.0
xinjiang,china,41.1129,85.2401,2020-01-30,14,0,0.0
xinjiang,china,41.1129,85.2401,2020-01-31,17,0,0.0
xinjiang,china,41.1129,85.2401,2020-02-01,18,0,0.0
xinjiang,china,41.1129,85.2401,2020-02-02,21,0,0.0
xinjiang,china,41.1129,85.2401,2020-02-03,24,0,0.0
xinjiang,china,41.1129,85.2401,2020-02-04,29,0,0.0
xinjiang,china,41.1129,85.2401,2020-02-05,32,0,0.0
xinjiang,china,41.1129,85.2401,2020-02-06,36,0,0.0
xinjiang,china,41.1129,85.2401,2020-02-07,39,0,0.0
xinjiang,china,41.1129,85.2401,2020-02-08,42,0,0.0
xinjiang,china,41.1129,85.2401,2020-02-09,45,0,0.0
xinjiang,china,41.1129,85.2401,2020-02-10,49,0,0.0
xinjiang,china,41.1129,85.2401,2020-02-11,55,0,3.0
xinjiang,china,41.1129,85.2401,2020-02-12,59,0,3.0
xinjiang,china,41.1129,85.2401,2020-02-13,63,1,6.0
xinjiang,china,41.1129,85.2401,2020-02-14,65,1,6.0
xinjiang,china,41.1129,85.2401,2020-02-15,70,1,10.0
xinjiang,china,41.1129,85.2401,2020-02-16,71,1,12.0
xinjiang,china,41.1129,85.2401,2020-02-17,75,1,12.0
xinjiang,china,41.1129,85.2401,2020-02-18,76,1,12.0
xinjiang,china,41.1129,85.2401,2020-02-19,76,1,20.0
xinjiang,china,41.1129,85.2401,2020-02-20,76,1,22.0
xinjiang,china,41.1129,85.2401,2020-02-21,76,1,24.0
xinjiang,china,41.1129,85.2401,2020-02-22,76,2,25.0
xinjiang,china,41.1129,85.2401,2020-02-23,76,2,28.0
xinjiang,china,41.1129,85.2401,2020-02-24,76,2,30.0
xinjiang,china,41.1129,85.2401,2020-02-25,76,2,30.0
xinjiang,china,41.1129,85.2401,2020-02-26,76,2,34.0
xinjiang,china,41.1129,85.2401,2020-02-27,76,2,43.0
xinjiang,china,41.1129,85.2401,2020-02-28,76,3,52.0
xinjiang,china,41.1129,85.2401,2020-02-29,76,3,62.0
xinjiang,china,41.1129,85.2401,2020-03-01,76,3,64.0
xinjiang,china,41.1129,85.2401,2020-03-02,76,3,66.0
xinjiang,china,41.1129,85.2401,2020-03-03,76,3,68.0
xinjiang,china,41.1129,85.2401,2020-03-04,76,3,69.0
xinjiang,china,41.1129,85.2401,2020-03-05,76,3,70.0
xinjiang,china,41.1129,85.2401,2020-03-06,76,3,71.0
xinjiang,china,41.1129,85.2401,2020-03-07,76,3,72.0
xinjiang,china,41.1129,85.2401,2020-03-08,76,3,73.0
xinjiang,china,41.1129,85.2401,2020-03-09,76,3,73.0
xinjiang,china,41.1129,85.2401,2020-03-10,76,3,73.0
xinjiang,china,41.1129,85.2401,2020-03-11,76,3,73.0
xinjiang,china,41.1129,85.2401,2020-03-12,76,3,73.0
xinjiang,china,41.1129,85.2401,2020-03-13,76,3,73.0
xinjiang,china,41.1129,85.2401,2020-03-14,76,3,73.0
xinjiang,china,41.1129,85.2401,2020-03-15,76,3,73.0
xinjiang,china,41.1129,85.2401,2020-03-16,76,3,73.0
xinjiang,china,41.1129,85.2401,2020-03-17,76,3,73.0
xinjiang,china,41.1129,85.2401,2020-03-18,76,3,73.0
xinjiang,china,41.1129,85.2401,2020-03-19,76,3,73.0
xinjiang,china,41.1129,85.2401,2020-03-20,76,3,73.0
xinjiang,china,41.1129,85.2401,2020-03-21,76,3,73.0
xinjiang,china,41.1129,85.2401,2020-03-22,76,3,73.0
xinjiang,china,41.1129,85.2401,2020-03-23,76,3,73.0
xinjiang,china,41.1129,85.2401,2020-03-24,76,3,73.0
xinjiang,china,41.1129,85.2401,2020-03-25,76,3,73.0
xinjiang,china,41.1129,85.2401,2020-03-26,76,3,73.0
xinjiang,china,41.1129,85.2401,2020-03-27,76,3,73.0
xinjiang,china,41.1129,85.2401,2020-03-28,76,3,73.0
xinjiang,china,41.1129,85.2401,2020-03-29,76,3,73.0
xinjiang,china,41.1129,85.2401,2020-03-30,76,3,73.0
xinjiang,china,41.1129,85.2401,2020-03-31,76,3,73.0
xinjiang,china,41.1129,85.2401,2020-04-01,76,3,73.0
xinjiang,china,41.1129,85.2401,2020-04-02,76,3,73.0
