date,country,confirmed,deaths,confirmed_new,deaths_new
2020-01-22,us,1,0.0,1,0.0
2020-01-23,us,1,0.0,0,0.0
2020-01-24,us,2,0.0,1,0.0
2020-01-25,us,2,0.0,0,0.0
2020-01-26,us,5,0.0,3,0.0
2020-01-27,us,5,0.0,0,0.0
2020-01-28,us,5,0.0,0,0.0
2020-01-29,us,5,0.0,0,0.0
2020-01-30,us,5,0.0,0,0.0
2020-01-31,us,7,0.0,2,0.0
2020-02-01,us,8,0.0,1,0.0
2020-02-02,us,8,0.0,0,0.0
2020-02-03,us,11,0.0,3,0.0
2020-02-04,us,11,0.0,0,0.0
2020-02-05,us,11,0.0,0,0.0
2020-02-06,us,11,0.0,0,0.0
2020-02-07,us,11,0.0,0,0.0
2020-02-08,us,11,0.0,0,0.0
2020-02-09,us,11,0.0,0,0.0
2020-02-10,us,11,0.0,0,0.0
2020-02-11,us,12,0.0,1,0.0
2020-02-12,us,12,0.0,0,0.0
2020-02-13,us,13,0.0,1,0.0
2020-02-14,us,13,0.0,0,0.0
2020-02-15,us,13,0.0,0,0.0
2020-02-16,us,13,0.0,0,0.0
2020-02-17,us,13,0.0,0,0.0
2020-02-18,us,13,0.0,0,0.0
2020-02-19,us,13,0.0,0,0.0
2020-02-20,us,13,0.0,0,0.0
2020-02-21,us,15,0.0,2,0.0
2020-02-22,us,15,0.0,0,0.0
2020-02-23,us,15,0.0,0,0.0
2020-02-24,us,15,0.0,0,0.0
2020-02-25,us,15,0.0,0,0.0
2020-02-26,us,15,0.0,0,0.0
2020-02-27,us,16,0.0,1,0.0
2020-02-28,us,16,0.0,0,0.0
2020-02-29,us,24,1.0,8,1.0
2020-03-01,us,30,1.0,6,0.0
2020-03-02,us,53,6.0,23,5.0
2020-03-03,us,73,7.0,20,1.0
2020-03-04,us,104,10.0,31,3.0
2020-03-05,us,172,11.0,68,1.0
2020-03-06,us,217,13.0,45,2.0
2020-03-07,us,336,16.0,119,3.0
2020-03-08,us,450,20.0,114,4.0
2020-03-09,us,514,21.0,64,1.0
2020-03-10,us,708,27.0,194,6.0
2020-03-11,us,1105,29.0,397,2.0
2020-03-12,us,1557,37.0,452,8.0
2020-03-13,us,2147,45.0,590,8.0
2020-03-14,us,2857,50.0,710,5.0
2020-03-15,us,2918,57.0,61,7.0
2020-03-16,us,4307,79.0,1389,22.0
2020-03-17,us,6096,99.0,1789,20.0
2020-03-18,us,8873,133.0,2777,34.0
2020-03-19,us,14094,196.0,5221,63.0
2020-03-20,us,19403,241.0,5309,45.0
2020-03-21,us,25725,296.0,6322,55.0
2020-03-22,us,33634,396.0,7909,100.0
2020-03-23,us,43663,513.0,10029,117.0
2020-03-24,us,53736,660.0,10073,147.0
2020-03-25,us,65778,874.0,12042,214.0
2020-03-26,us,83836,1120.0,18058,246.0
2020-03-27,us,101657,1469.0,17821,349.0
2020-03-28,us,121465,2055.0,19808,586.0
2020-03-29,us,140909,2418.0,19444,363.0
2020-03-30,us,161831,2929.0,20922,511.0
2020-03-31,us,188172,3830.0,26341,901.0
2020-04-01,us,213362,4754.0,25190,924.0
2020-04-02,us,243762,5988.0,30400,1234.0
2020-04-03,us,275582,7409.0,31820,1421.0
2020-04-04,us,308848,8739.0,33266,1330.0
2020-04-05,us,337065,9935.0,28217,1196.0
2020-04-06,us,366660,10248.0,29595,313.0
2020-04-07,us,396221,12106.0,29561,1858.0
2020-04-08,us,429047,13978.0,32826,1872.0
2020-04-09,us,461432,15674.0,32385,1696.0
2020-04-10,us,496530,17713.0,35098,2039.0
2020-04-11,us,526391,19499.0,29861,1786.0
