date,country,confirmed,deaths,confirmed_new,deaths_new
2020-01-22,us,1,0,1,0
2020-01-23,us,1,0,0,0
2020-01-24,us,2,0,1,0
2020-01-25,us,2,0,0,0
2020-01-26,us,5,0,3,0
2020-01-27,us,5,0,0,0
2020-01-28,us,5,0,0,0
2020-01-29,us,5,0,0,0
2020-01-30,us,5,0,0,0
2020-01-31,us,7,0,2,0
2020-02-01,us,8,0,1,0
2020-02-02,us,8,0,0,0
2020-02-03,us,11,0,3,0
2020-02-04,us,11,0,0,0
2020-02-05,us,11,0,0,0
2020-02-06,us,11,0,0,0
2020-02-07,us,11,0,0,0
2020-02-08,us,11,0,0,0
2020-02-09,us,11,0,0,0
2020-02-10,us,11,0,0,0
2020-02-11,us,12,0,1,0
2020-02-12,us,12,0,0,0
2020-02-13,us,13,0,1,0
2020-02-14,us,13,0,0,0
2020-02-15,us,13,0,0,0
2020-02-16,us,13,0,0,0
2020-02-17,us,13,0,0,0
2020-02-18,us,13,0,0,0
2020-02-19,us,13,0,0,0
2020-02-20,us,13,0,0,0
2020-02-21,us,15,0,2,0
2020-02-22,us,15,0,0,0
2020-02-23,us,15,0,0,0
2020-02-24,us,15,0,0,0
2020-02-25,us,15,0,0,0
2020-02-26,us,15,0,0,0
2020-02-27,us,16,0,1,0
2020-02-28,us,16,0,0,0
2020-02-29,us,24,1,8,1
2020-03-01,us,30,1,6,0
2020-03-02,us,53,6,23,5
2020-03-03,us,73,7,20,1
2020-03-04,us,104,11,31,4
2020-03-05,us,172,12,68,1
2020-03-06,us,217,14,45,2
2020-03-07,us,336,17,119,3
2020-03-08,us,450,21,114,4
2020-03-09,us,514,22,64,1
2020-03-10,us,708,28,194,6
2020-03-11,us,1105,32,397,4
2020-03-12,us,1557,40,452,8
2020-03-13,us,2147,48,590,8
2020-03-14,us,2857,52,710,4
2020-03-15,us,2918,60,61,8
2020-03-16,us,4307,84,1389,24
2020-03-17,us,6096,107,1789,23
2020-03-18,us,8873,143,2777,36
2020-03-19,us,14094,209,5221,66
2020-03-20,us,19403,258,5309,49
2020-03-21,us,25725,318,6322,60
2020-03-22,us,33634,427,7909,109
2020-03-23,us,43663,552,10029,125
2020-03-24,us,53736,706,10073,154
2020-03-25,us,65778,942,12042,236
2020-03-26,us,83836,1209,18058,267
2020-03-27,us,101657,1581,17821,372
2020-03-28,us,121465,2181,19808,600
2020-03-29,us,140909,2565,19444,384
2020-03-30,us,161831,3102,20922,537
2020-03-31,us,188172,4037,26341,935
2020-04-01,us,213372,4992,25200,955
2020-04-02,us,243762,6291,30390,1299
2020-04-03,us,275586,7414,31824,1123
2020-04-04,us,308853,8386,33267,972
2020-04-05,us,337072,9489,28219,1103
2020-04-06,us,366667,10783,29595,1294
2020-04-07,us,397505,12794,30838,2011
2020-04-08,us,429052,14695,31547,1901
2020-04-09,us,462780,16544,33728,1849
2020-04-10,us,496535,18586,33755,2042
2020-04-11,us,526396,20462,29861,1876
2020-04-12,us,555313,22019,28917,1557
2020-04-13,us,580619,23528,25306,1509
2020-04-14,us,607670,25831,27051,2303
2020-04-15,us,636350,28325,28680,2494
2020-04-16,us,667592,32916,31242,4591
2020-04-17,us,699706,36773,32114,3857
2020-04-18,us,732197,38664,32491,1891
2020-04-19,us,759086,40661,26889,1997
