state,country,lat,long,date,confirmed,confirmed_new
,afghanistan,33.0,65.0,2020-01-22,0,0
,afghanistan,33.0,65.0,2020-01-23,0,0
,afghanistan,33.0,65.0,2020-01-24,0,0
,afghanistan,33.0,65.0,2020-01-25,0,0
,afghanistan,33.0,65.0,2020-01-26,0,0
,afghanistan,33.0,65.0,2020-01-27,0,0
,afghanistan,33.0,65.0,2020-01-28,0,0
,afghanistan,33.0,65.0,2020-01-29,0,0
,afghanistan,33.0,65.0,2020-01-30,0,0
,afghanistan,33.0,65.0,2020-01-31,0,0
,afghanistan,33.0,65.0,2020-02-01,0,0
,afghanistan,33.0,65.0,2020-02-02,0,0
,afghanistan,33.0,65.0,2020-02-03,0,0
,afghanistan,33.0,65.0,2020-02-04,0,0
,afghanistan,33.0,65.0,2020-02-05,0,0
,afghanistan,33.0,65.0,2020-02-06,0,0
,afghanistan,33.0,65.0,2020-02-07,0,0
,afghanistan,33.0,65.0,2020-02-08,0,0
,afghanistan,33.0,65.0,2020-02-09,0,0
,afghanistan,33.0,65.0,2020-02-10,0,0
,afghanistan,33.0,65.0,2020-02-11,0,0
,afghanistan,33.0,65.0,2020-02-12,0,0
,afghanistan,33.0,65.0,2020-02-13,0,0
,afghanistan,33.0,65.0,2020-02-14,0,0
,afghanistan,33.0,65.0,2020-02-15,0,0
,afghanistan,33.0,65.0,2020-02-16,0,0
,afghanistan,33.0,65.0,2020-02-17,0,0
,afghanistan,33.0,65.0,2020-02-18,0,0
,afghanistan,33.0,65.0,2020-02-19,0,0
,afghanistan,33.0,65.0,2020-02-20,0,0
,afghanistan,33.0,65.0,2020-02-21,0,0
,afghanistan,33.0,65.0,2020-02-22,0,0
,afghanistan,33.0,65.0,2020-02-23,0,0
,afghanistan,33.0,65.0,2020-02-24,1,1
,afghanistan,33.0,65.0,2020-02-25,1,0
,afghanistan,33.0,65.0,2020-02-26,1,0
,afghanistan,33.0,65.0,2020-02-27,1,0
,afghanistan,33.0,65.0,2020-02-28,1,0
,afghanistan,33.0,65.0,2020-02-29,1,0
,afghanistan,33.0,65.0,2020-03-01,1,0
,afghanistan,33.0,65.0,2020-03-02,1,0
,afghanistan,33.0,65.0,2020-03-03,1,0
,afghanistan,33.0,65.0,2020-03-04,1,0
,afghanistan,33.0,65.0,2020-03-05,1,0
,afghanistan,33.0,65.0,2020-03-06,1,0
,afghanistan,33.0,65.0,2020-03-07,1,0
,afghanistan,33.0,65.0,2020-03-08,4,3
,afghanistan,33.0,65.0,2020-03-09,4,0
,afghanistan,33.0,65.0,2020-03-10,5,1
,afghanistan,33.0,65.0,2020-03-11,7,2
,afghanistan,33.0,65.0,2020-03-12,7,0
,afghanistan,33.0,65.0,2020-03-13,7,0
,afghanistan,33.0,65.0,2020-03-14,11,4
,afghanistan,33.0,65.0,2020-03-15,16,5
,afghanistan,33.0,65.0,2020-03-16,21,5
,afghanistan,33.0,65.0,2020-03-17,22,1
,afghanistan,33.0,65.0,2020-03-18,22,0
,afghanistan,33.0,65.0,2020-03-19,22,0
,afghanistan,33.0,65.0,2020-03-20,24,2
,afghanistan,33.0,65.0,2020-03-21,24,0
,afghanistan,33.0,65.0,2020-03-22,40,16
,afghanistan,33.0,65.0,2020-03-23,40,0
,afghanistan,33.0,65.0,2020-03-24,74,34
,afghanistan,33.0,65.0,2020-03-25,84,10
,afghanistan,33.0,65.0,2020-03-26,94,10
,afghanistan,33.0,65.0,2020-03-27,110,16
,afghanistan,33.0,65.0,2020-03-28,110,0
,afghanistan,33.0,65.0,2020-03-29,120,10
,afghanistan,33.0,65.0,2020-03-30,170,50
,afghanistan,33.0,65.0,2020-03-31,174,4
,afghanistan,33.0,65.0,2020-04-01,237,63
,afghanistan,33.0,65.0,2020-04-02,273,36
,albania,41.1533,20.1683,2020-01-22,0,0
,albania,41.1533,20.1683,2020-01-23,0,0
,albania,41.1533,20.1683,2020-01-24,0,0
,albania,41.1533,20.1683,2020-01-25,0,0
,albania,41.1533,20.1683,2020-01-26,0,0
,albania,41.1533,20.1683,2020-01-27,0,0
,albania,41.1533,20.1683,2020-01-28,0,0
,albania,41.1533,20.1683,2020-01-29,0,0
,albania,41.1533,20.1683,2020-01-30,0,0
,albania,41.1533,20.1683,2020-01-31,0,0
,albania,41.1533,20.1683,2020-02-01,0,0
,albania,41.1533,20.1683,2020-02-02,0,0
,albania,41.1533,20.1683,2020-02-03,0,0
,albania,41.1533,20.1683,2020-02-04,0,0
,albania,41.1533,20.1683,2020-02-05,0,0
,albania,41.1533,20.1683,2020-02-06,0,0
,albania,41.1533,20.1683,2020-02-07,0,0
,albania,41.1533,20.1683,2020-02-08,0,0
,albania,41.1533,20.1683,2020-02-09,0,0
,albania,41.1533,20.1683,2020-02-10,0,0
,albania,41.1533,20.1683,2020-02-11,0,0
,albania,41.1533,20.1683,2020-02-12,0,0
,albania,41.1533,20.1683,2020-02-13,0,0
,albania,41.1533,20.1683,2020-02-14,0,0
,albania,41.1533,20.1683,2020-02-15,0,0
,albania,41.1533,20.1683,2020-02-16,0,0
,albania,41.1533,20.1683,2020-02-17,0,0
,albania,41.1533,20.1683,2020-02-18,0,0
,albania,41.1533,20.1683,2020-02-19,0,0
,albania,41.1533,20.1683,2020-02-20,0,0
,albania,41.1533,20.1683,2020-02-21,0,0
,albania,41.1533,20.1683,2020-02-22,0,0
,albania,41.1533,20.1683,2020-02-23,0,0
,albania,41.1533,20.1683,2020-02-24,0,0
,albania,41.1533,20.1683,2020-02-25,0,0
,albania,41.1533,20.1683,2020-02-26,0,0
,albania,41.1533,20.1683,2020-02-27,0,0
,albania,41.1533,20.1683,2020-02-28,0,0
,albania,41.1533,20.1683,2020-02-29,0,0
,albania,41.1533,20.1683,2020-03-01,0,0
,albania,41.1533,20.1683,2020-03-02,0,0
,albania,41.1533,20.1683,2020-03-03,0,0
,albania,41.1533,20.1683,2020-03-04,0,0
,albania,41.1533,20.1683,2020-03-05,0,0
,albania,41.1533,20.1683,2020-03-06,0,0
,albania,41.1533,20.1683,2020-03-07,0,0
,albania,41.1533,20.1683,2020-03-08,0,0
,albania,41.1533,20.1683,2020-03-09,2,2
,albania,41.1533,20.1683,2020-03-10,10,8
,albania,41.1533,20.1683,2020-03-11,12,2
,albania,41.1533,20.1683,2020-03-12,23,11
,albania,41.1533,20.1683,2020-03-13,33,10
,albania,41.1533,20.1683,2020-03-14,38,5
,albania,41.1533,20.1683,2020-03-15,42,4
,albania,41.1533,20.1683,2020-03-16,51,9
,albania,41.1533,20.1683,2020-03-17,55,4
,albania,41.1533,20.1683,2020-03-18,59,4
,albania,41.1533,20.1683,2020-03-19,64,5
,albania,41.1533,20.1683,2020-03-20,70,6
,albania,41.1533,20.1683,2020-03-21,76,6
,albania,41.1533,20.1683,2020-03-22,89,13
,albania,41.1533,20.1683,2020-03-23,104,15
,albania,41.1533,20.1683,2020-03-24,123,19
,albania,41.1533,20.1683,2020-03-25,146,23
,albania,41.1533,20.1683,2020-03-26,174,28
,albania,41.1533,20.1683,2020-03-27,186,12
,albania,41.1533,20.1683,2020-03-28,197,11
,albania,41.1533,20.1683,2020-03-29,212,15
,albania,41.1533,20.1683,2020-03-30,223,11
,albania,41.1533,20.1683,2020-03-31,243,20
,albania,41.1533,20.1683,2020-04-01,259,16
,albania,41.1533,20.1683,2020-04-02,277,18
,algeria,28.0339,1.6596,2020-01-22,0,0
,algeria,28.0339,1.6596,2020-01-23,0,0
,algeria,28.0339,1.6596,2020-01-24,0,0
,algeria,28.0339,1.6596,2020-01-25,0,0
,algeria,28.0339,1.6596,2020-01-26,0,0
,algeria,28.0339,1.6596,2020-01-27,0,0
,algeria,28.0339,1.6596,2020-01-28,0,0
,algeria,28.0339,1.6596,2020-01-29,0,0
,algeria,28.0339,1.6596,2020-01-30,0,0
,algeria,28.0339,1.6596,2020-01-31,0,0
,algeria,28.0339,1.6596,2020-02-01,0,0
,algeria,28.0339,1.6596,2020-02-02,0,0
,algeria,28.0339,1.6596,2020-02-03,0,0
,algeria,28.0339,1.6596,2020-02-04,0,0
,algeria,28.0339,1.6596,2020-02-05,0,0
,algeria,28.0339,1.6596,2020-02-06,0,0
,algeria,28.0339,1.6596,2020-02-07,0,0
,algeria,28.0339,1.6596,2020-02-08,0,0
,algeria,28.0339,1.6596,2020-02-09,0,0
,algeria,28.0339,1.6596,2020-02-10,0,0
,algeria,28.0339,1.6596,2020-02-11,0,0
,algeria,28.0339,1.6596,2020-02-12,0,0
,algeria,28.0339,1.6596,2020-02-13,0,0
,algeria,28.0339,1.6596,2020-02-14,0,0
,algeria,28.0339,1.6596,2020-02-15,0,0
,algeria,28.0339,1.6596,2020-02-16,0,0
,algeria,28.0339,1.6596,2020-02-17,0,0
,algeria,28.0339,1.6596,2020-02-18,0,0
,algeria,28.0339,1.6596,2020-02-19,0,0
,algeria,28.0339,1.6596,2020-02-20,0,0
,algeria,28.0339,1.6596,2020-02-21,0,0
,algeria,28.0339,1.6596,2020-02-22,0,0
,algeria,28.0339,1.6596,2020-02-23,0,0
,algeria,28.0339,1.6596,2020-02-24,0,0
,algeria,28.0339,1.6596,2020-02-25,1,1
,algeria,28.0339,1.6596,2020-02-26,1,0
,algeria,28.0339,1.6596,2020-02-27,1,0
