date,country,state,lat,long,UID,iso2,iso3,code3,FIPS,region,Combined_Key,confirmed,confirmed_new,deaths,deaths_new
2020-01-22,US,New Jersey,40.73766234,-74.07515667,84034017.0,US,USA,840,34017.0,Hudson,"Hudson, New Jersey, US",0,0,0,0
2020-01-23,US,New Jersey,40.73766234,-74.07515667,84034017.0,US,USA,840,34017.0,Hudson,"Hudson, New Jersey, US",0,0,0,0
2020-01-24,US,New Jersey,40.73766234,-74.07515667,84034017.0,US,USA,840,34017.0,Hudson,"Hudson, New Jersey, US",0,0,0,0
2020-01-25,US,New Jersey,40.73766234,-74.07515667,84034017.0,US,USA,840,34017.0,Hudson,"Hudson, New Jersey, US",0,0,0,0
2020-01-26,US,New Jersey,40.73766234,-74.07515667,84034017.0,US,USA,840,34017.0,Hudson,"Hudson, New Jersey, US",0,0,0,0
2020-01-27,US,New Jersey,40.73766234,-74.07515667,84034017.0,US,USA,840,34017.0,Hudson,"Hudson, New Jersey, US",0,0,0,0
2020-01-28,US,New Jersey,40.73766234,-74.07515667,84034017.0,US,USA,840,34017.0,Hudson,"Hudson, New Jersey, US",0,0,0,0
2020-01-29,US,New Jersey,40.73766234,-74.07515667,84034017.0,US,USA,840,34017.0,Hudson,"Hudson, New Jersey, US",0,0,0,0
2020-01-30,US,New Jersey,40.73766234,-74.07515667,84034017.0,US,USA,840,34017.0,Hudson,"Hudson, New Jersey, US",0,0,0,0
2020-01-31,US,New Jersey,40.73766234,-74.07515667,84034017.0,US,USA,840,34017.0,Hudson,"Hudson, New Jersey, US",0,0,0,0
2020-02-01,US,New Jersey,40.73766234,-74.07515667,84034017.0,US,USA,840,34017.0,Hudson,"Hudson, New Jersey, US",0,0,0,0
2020-02-02,US,New Jersey,40.73766234,-74.07515667,84034017.0,US,USA,840,34017.0,Hudson,"Hudson, New Jersey, US",0,0,0,0
