date,country,state,lat,long,UID,iso2,iso3,code3,FIPS,region,Combined_Key,confirmed,confirmed_new,deaths,deaths_new
2020-01-22,US,New Jersey,40.56335249,-74.91284156,84034019.0,US,USA,840,34019.0,Hunterdon,"Hunterdon, New Jersey, US",0,0,0,0
2020-01-23,US,New Jersey,40.56335249,-74.91284156,84034019.0,US,USA,840,34019.0,Hunterdon,"Hunterdon, New Jersey, US",0,0,0,0
2020-01-24,US,New Jersey,40.56335249,-74.91284156,84034019.0,US,USA,840,34019.0,Hunterdon,"Hunterdon, New Jersey, US",0,0,0,0
2020-01-25,US,New Jersey,40.56335249,-74.91284156,84034019.0,US,USA,840,34019.0,Hunterdon,"Hunterdon, New Jersey, US",0,0,0,0
2020-01-26,US,New Jersey,40.56335249,-74.91284156,84034019.0,US,USA,840,34019.0,Hunterdon,"Hunterdon, New Jersey, US",0,0,0,0
2020-01-27,US,New Jersey,40.56335249,-74.91284156,84034019.0,US,USA,840,34019.0,Hunterdon,"Hunterdon, New Jersey, US",0,0,0,0
2020-01-28,US,New Jersey,40.56335249,-74.91284156,84034019.0,US,USA,840,34019.0,Hunterdon,"Hunterdon, New Jersey, US",0,0,0,0
2020-01-29,US,New Jersey,40.56335249,-74.91284156,84034019.0,US,USA,840,34019.0,Hunterdon,"Hunterdon, New Jersey, US",0,0,0,0
2020-01-30,US,New Jersey,40.56335249,-74.91284156,84034019.0,US,USA,840,34019.0,Hunterdon,"Hunterdon, New Jersey, US",0,0,0,0
2020-01-31,US,New Jersey,40.56335249,-74.91284156,84034019.0,US,USA,840,34019.0,Hunterdon,"Hunterdon, New Jersey, US",0,0,0,0
2020-02-01,US,New Jersey,40.56335249,-74.91284156,84034019.0,US,USA,840,34019.0,Hunterdon,"Hunterdon, New Jersey, US",0,0,0,0
2020-02-02,US,New Jersey,40.56335249,-74.91284156,84034019.0,US,USA,840,34019.0,Hunterdon,"Hunterdon, New Jersey, US",0,0,0,0
2020-02-03,US,New Jersey,40.56335249,-74.91284156,84034019.0,US,USA,840,34019.0,Hunterdon,"Hunterdon, New Jersey, US",0,0,0,0
2020-02-04,US,New Jersey,40.56335249,-74.91284156,84034019.0,US,USA,840,34019.0,Hunterdon,"Hunterdon, New Jersey, US",0,0,0,0
2020-02-05,US,New Jersey,40.56335249,-74.91284156,84034019.0,US,USA,840,34019.0,Hunterdon,"Hunterdon, New Jersey, US",0,0,0,0
2020-02-06,US,New Jersey,40.56335249,-74.91284156,84034019.0,US,USA,840,34019.0,Hunterdon,"Hunterdon, New Jersey, US",0,0,0,0
2020-02-07,US,New Jersey,40.56335249,-74.91284156,84034019.0,US,USA,840,34019.0,Hunterdon,"Hunterdon, New Jersey, US",0,0,0,0
2020-02-08,US,New Jersey,40.56335249,-74.91284156,84034019.0,US,USA,840,34019.0,Hunterdon,"Hunterdon, New Jersey, US",0,0,0,0
2020-02-09,US,New Jersey,40.56335249,-74.91284156,84034019.0,US,USA,840,34019.0,Hunterdon,"Hunterdon, New Jersey, US",0,0,0,0
2020-02-10,US,New Jersey,40.56335249,-74.91284156,84034019.0,US,USA,840,34019.0,Hunterdon,"Hunterdon, New Jersey, US",0,0,0,0
2020-02-11,US,New Jersey,40.56335249,-74.91284156,84034019.0,US,USA,840,34019.0,Hunterdon,"Hunterdon, New Jersey, US",0,0,0,0
2020-02-12,US,New Jersey,40.56335249,-74.91284156,84034019.0,US,USA,840,34019.0,Hunterdon,"Hunterdon, New Jersey, US",0,0,0,0
2020-02-13,US,New Jersey,40.56335249,-74.91284156,84034019.0,US,USA,840,34019.0,Hunterdon,"Hunterdon, New Jersey, US",0,0,0,0
2020-02-14,US,New Jersey,40.56335249,-74.91284156,84034019.0,US,USA,840,34019.0,Hunterdon,"Hunterdon, New Jersey, US",0,0,0,0
2020-02-15,US,New Jersey,40.56335249,-74.91284156,84034019.0,US,USA,840,34019.0,Hunterdon,"Hunterdon, New Jersey, US",0,0,0,0
