date,country,state,lat,long,UID,iso2,iso3,code3,FIPS,region,Combined_Key,confirmed,confirmed_new,deaths,deaths_new
2020-01-22,US,Alaska,61.14998174,-149.14269860000005,84002020.0,US,USA,840,2020.0,Anchorage,"Anchorage,Alaska,US",0,0,0,0
2020-01-23,US,Alaska,61.14998174,-149.14269860000005,84002020.0,US,USA,840,2020.0,Anchorage,"Anchorage,Alaska,US",0,0,0,0
2020-01-24,US,Alaska,61.14998174,-149.14269860000005,84002020.0,US,USA,840,2020.0,Anchorage,"Anchorage,Alaska,US",0,0,0,0
2020-01-25,US,Alaska,61.14998174,-149.14269860000005,84002020.0,US,USA,840,2020.0,Anchorage,"Anchorage,Alaska,US",0,0,0,0
2020-01-26,US,Alaska,61.14998174,-149.14269860000005,84002020.0,US,USA,840,2020.0,Anchorage,"Anchorage,Alaska,US",0,0,0,0
2020-01-27,US,Alaska,61.14998174,-149.14269860000005,84002020.0,US,USA,840,2020.0,Anchorage,"Anchorage,Alaska,US",0,0,0,0
2020-01-28,US,Alaska,61.14998174,-149.14269860000005,84002020.0,US,USA,840,2020.0,Anchorage,"Anchorage,Alaska,US",0,0,0,0
2020-01-29,US,Alaska,61.14998174,-149.14269860000005,84002020.0,US,USA,840,2020.0,Anchorage,"Anchorage,Alaska,US",0,0,0,0
2020-01-30,US,Alaska,61.14998174,-149.14269860000005,84002020.0,US,USA,840,2020.0,Anchorage,"Anchorage,Alaska,US",0,0,0,0
2020-01-31,US,Alaska,61.14998174,-149.14269860000005,84002020.0,US,USA,840,2020.0,Anchorage,"Anchorage,Alaska,US",0,0,0,0
2020-02-01,US,Alaska,61.14998174,-149.14269860000005,84002020.0,US,USA,840,2020.0,Anchorage,"Anchorage,Alaska,US",0,0,0,0
2020-02-02,US,Alaska,61.14998174,-149.14269860000005,84002020.0,US,USA,840,2020.0,Anchorage,"Anchorage,Alaska,US",0,0,0,0
2020-02-03,US,Alaska,61.14998174,-149.14269860000005,84002020.0,US,USA,840,2020.0,Anchorage,"Anchorage,Alaska,US",0,0,0,0
2020-02-04,US,Alaska,61.14998174,-149.14269860000005,84002020.0,US,USA,840,2020.0,Anchorage,"Anchorage,Alaska,US",0,0,0,0
2020-02-05,US,Alaska,61.14998174,-149.14269860000005,84002020.0,US,USA,840,2020.0,Anchorage,"Anchorage,Alaska,US",0,0,0,0
2020-02-06,US,Alaska,61.14998174,-149.14269860000005,84002020.0,US,USA,840,2020.0,Anchorage,"Anchorage,Alaska,US",0,0,0,0
2020-02-07,US,Alaska,61.14998174,-149.14269860000005,84002020.0,US,USA,840,2020.0,Anchorage,"Anchorage,Alaska,US",0,0,0,0
2020-02-08,US,Alaska,61.14998174,-149.14269860000005,84002020.0,US,USA,840,2020.0,Anchorage,"Anchorage,Alaska,US",0,0,0,0
2020-02-09,US,Alaska,61.14998174,-149.14269860000005,84002020.0,US,USA,840,2020.0,Anchorage,"Anchorage,Alaska,US",0,0,0,0
2020-02-10,US,Alaska,61.14998174,-149.14269860000005,84002020.0,US,USA,840,2020.0,Anchorage,"Anchorage,Alaska,US",0,0,0,0
2020-02-11,US,Alaska,61.14998174,-149.14269860000005,84002020.0,US,USA,840,2020.0,Anchorage,"Anchorage,Alaska,US",0,0,0,0
2020-02-12,US,Alaska,61.14998174,-149.14269860000005,84002020.0,US,USA,840,2020.0,Anchorage,"Anchorage,Alaska,US",0,0,0,0
2020-02-13,US,Alaska,61.14998174,-149.14269860000005,84002020.0,US,USA,840,2020.0,Anchorage,"Anchorage,Alaska,US",0,0,0,0
2020-02-14,US,Alaska,61.14998174,-149.14269860000005,84002020.0,US,USA,840,2020.0,Anchorage,"Anchorage,Alaska,US",0,0,0,0
2020-02-15,US,Alaska,61.14998174,-149.14269860000005,84002020.0,US,USA,840,2020.0,Anchorage,"Anchorage,Alaska,US",0,0,0,0
2020-02-16,US,Alaska,61.14998174,-149.14269860000005,84002020.0,US,USA,840,2020.0,Anchorage,"Anchorage,Alaska,US",0,0,0,0
2020-02-17,US,Alaska,61.14998174,-149.14269860000005,84002020.0,US,USA,840,2020.0,Anchorage,"Anchorage,Alaska,US",0,0,0,0
2020-02-18,US,Alaska,61.14998174,-149.14269860000005,84002020.0,US,USA,840,2020.0,Anchorage,"Anchorage,Alaska,US",0,0,0,0
2020-02-19,US,Alaska,61.14998174,-149.14269860000005,84002020.0,US,USA,840,2020.0,Anchorage,"Anchorage,Alaska,US",0,0,0,0
