date,country,state,lat,long,UID,iso2,iso3,code3,FIPS,region,Combined_Key,confirmed,confirmed_new,deaths,deaths_new
2020-01-22,US,New York,42.13891056,-76.7638805,84036015.0,US,USA,840,36015.0,Chemung,"Chemung, New York, US",0,0,0,0
2020-01-23,US,New York,42.13891056,-76.7638805,84036015.0,US,USA,840,36015.0,Chemung,"Chemung, New York, US",0,0,0,0
2020-01-24,US,New York,42.13891056,-76.7638805,84036015.0,US,USA,840,36015.0,Chemung,"Chemung, New York, US",0,0,0,0
2020-01-25,US,New York,42.13891056,-76.7638805,84036015.0,US,USA,840,36015.0,Chemung,"Chemung, New York, US",0,0,0,0
2020-01-26,US,New York,42.13891056,-76.7638805,84036015.0,US,USA,840,36015.0,Chemung,"Chemung, New York, US",0,0,0,0
2020-01-27,US,New York,42.13891056,-76.7638805,84036015.0,US,USA,840,36015.0,Chemung,"Chemung, New York, US",0,0,0,0
2020-01-28,US,New York,42.13891056,-76.7638805,84036015.0,US,USA,840,36015.0,Chemung,"Chemung, New York, US",0,0,0,0
2020-01-29,US,New York,42.13891056,-76.7638805,84036015.0,US,USA,840,36015.0,Chemung,"Chemung, New York, US",0,0,0,0
2020-01-30,US,New York,42.13891056,-76.7638805,84036015.0,US,USA,840,36015.0,Chemung,"Chemung, New York, US",0,0,0,0
2020-01-31,US,New York,42.13891056,-76.7638805,84036015.0,US,USA,840,36015.0,Chemung,"Chemung, New York, US",0,0,0,0
2020-02-01,US,New York,42.13891056,-76.7638805,84036015.0,US,USA,840,36015.0,Chemung,"Chemung, New York, US",0,0,0,0
2020-02-02,US,New York,42.13891056,-76.7638805,84036015.0,US,USA,840,36015.0,Chemung,"Chemung, New York, US",0,0,0,0
2020-02-03,US,New York,42.13891056,-76.7638805,84036015.0,US,USA,840,36015.0,Chemung,"Chemung, New York, US",0,0,0,0
2020-02-04,US,New York,42.13891056,-76.7638805,84036015.0,US,USA,840,36015.0,Chemung,"Chemung, New York, US",0,0,0,0
2020-02-05,US,New York,42.13891056,-76.7638805,84036015.0,US,USA,840,36015.0,Chemung,"Chemung, New York, US",0,0,0,0
2020-02-06,US,New York,42.13891056,-76.7638805,84036015.0,US,USA,840,36015.0,Chemung,"Chemung, New York, US",0,0,0,0
2020-02-07,US,New York,42.13891056,-76.7638805,84036015.0,US,USA,840,36015.0,Chemung,"Chemung, New York, US",0,0,0,0
2020-02-08,US,New York,42.13891056,-76.7638805,84036015.0,US,USA,840,36015.0,Chemung,"Chemung, New York, US",0,0,0,0
2020-02-09,US,New York,42.13891056,-76.7638805,84036015.0,US,USA,840,36015.0,Chemung,"Chemung, New York, US",0,0,0,0
2020-02-10,US,New York,42.13891056,-76.7638805,84036015.0,US,USA,840,36015.0,Chemung,"Chemung, New York, US",0,0,0,0
