date,country,state,lat,long,UID,iso2,iso3,code3,FIPS,region,Combined_Key,confirmed,confirmed_new,deaths,deaths_new
2020-01-22,US,Washington,0.0,0.0,84090053.0,US,USA,840,90053.0,Unassigned,"Unassigned, Washington, US",0,0,0,0
2020-01-23,US,Washington,0.0,0.0,84090053.0,US,USA,840,90053.0,Unassigned,"Unassigned, Washington, US",0,0,0,0
2020-01-24,US,Washington,0.0,0.0,84090053.0,US,USA,840,90053.0,Unassigned,"Unassigned, Washington, US",0,0,0,0
2020-01-25,US,Washington,0.0,0.0,84090053.0,US,USA,840,90053.0,Unassigned,"Unassigned, Washington, US",0,0,0,0
2020-01-26,US,Washington,0.0,0.0,84090053.0,US,USA,840,90053.0,Unassigned,"Unassigned, Washington, US",0,0,0,0
2020-01-27,US,Washington,0.0,0.0,84090053.0,US,USA,840,90053.0,Unassigned,"Unassigned, Washington, US",0,0,0,0
2020-01-28,US,Washington,0.0,0.0,84090053.0,US,USA,840,90053.0,Unassigned,"Unassigned, Washington, US",0,0,0,0
2020-01-29,US,Washington,0.0,0.0,84090053.0,US,USA,840,90053.0,Unassigned,"Unassigned, Washington, US",0,0,0,0
2020-01-30,US,Washington,0.0,0.0,84090053.0,US,USA,840,90053.0,Unassigned,"Unassigned, Washington, US",0,0,0,0
2020-01-31,US,Washington,0.0,0.0,84090053.0,US,USA,840,90053.0,Unassigned,"Unassigned, Washington, US",0,0,0,0
2020-02-01,US,Washington,0.0,0.0,84090053.0,US,USA,840,90053.0,Unassigned,"Unassigned, Washington, US",0,0,0,0
2020-02-02,US,Washington,0.0,0.0,84090053.0,US,USA,840,90053.0,Unassigned,"Unassigned, Washington, US",0,0,0,0
2020-02-03,US,Washington,0.0,0.0,84090053.0,US,USA,840,90053.0,Unassigned,"Unassigned, Washington, US",0,0,0,0
2020-02-04,US,Washington,0.0,0.0,84090053.0,US,USA,840,90053.0,Unassigned,"Unassigned, Washington, US",0,0,0,0
2020-02-05,US,Washington,0.0,0.0,84090053.0,US,USA,840,90053.0,Unassigned,"Unassigned, Washington, US",0,0,0,0
2020-02-06,US,Washington,0.0,0.0,84090053.0,US,USA,840,90053.0,Unassigned,"Unassigned, Washington, US",0,0,0,0
2020-02-07,US,Washington,0.0,0.0,84090053.0,US,USA,840,90053.0,Unassigned,"Unassigned, Washington, US",0,0,0,0
2020-02-08,US,Washington,0.0,0.0,84090053.0,US,USA,840,90053.0,Unassigned,"Unassigned, Washington, US",0,0,0,0
2020-02-09,US,Washington,0.0,0.0,84090053.0,US,USA,840,90053.0,Unassigned,"Unassigned, Washington, US",0,0,0,0
2020-02-10,US,Washington,0.0,0.0,84090053.0,US,USA,840,90053.0,Unassigned,"Unassigned, Washington, US",0,0,0,0
2020-02-11,US,Washington,0.0,0.0,84090053.0,US,USA,840,90053.0,Unassigned,"Unassigned, Washington, US",0,0,0,0
2020-02-12,US,Washington,0.0,0.0,84090053.0,US,USA,840,90053.0,Unassigned,"Unassigned, Washington, US",0,0,0,0
2020-02-13,US,Washington,0.0,0.0,84090053.0,US,USA,840,90053.0,Unassigned,"Unassigned, Washington, US",0,0,0,0
2020-02-14,US,Washington,0.0,0.0,84090053.0,US,USA,840,90053.0,Unassigned,"Unassigned, Washington, US",0,0,0,0
2020-02-15,US,Washington,0.0,0.0,84090053.0,US,USA,840,90053.0,Unassigned,"Unassigned, Washington, US",0,0,0,0
2020-02-16,US,Washington,0.0,0.0,84090053.0,US,USA,840,90053.0,Unassigned,"Unassigned, Washington, US",0,0,0,0
2020-02-17,US,Washington,0.0,0.0,84090053.0,US,USA,840,90053.0,Unassigned,"Unassigned, Washington, US",0,0,0,0
2020-02-18,US,Washington,0.0,0.0,84090053.0,US,USA,840,90053.0,Unassigned,"Unassigned, Washington, US",0,0,0,0
2020-02-19,US,Washington,0.0,0.0,84090053.0,US,USA,840,90053.0,Unassigned,"Unassigned, Washington, US",0,0,0,0
2020-02-20,US,Washington,0.0,0.0,84090053.0,US,USA,840,90053.0,Unassigned,"Unassigned, Washington, US",0,0,0,0
2020-02-21,US,Washington,0.0,0.0,84090053.0,US,USA,840,90053.0,Unassigned,"Unassigned, Washington, US",0,0,0,0
2020-02-22,US,Washington,0.0,0.0,84090053.0,US,USA,840,90053.0,Unassigned,"Unassigned, Washington, US",0,0,0,0
2020-02-23,US,Washington,0.0,0.0,84090053.0,US,USA,840,90053.0,Unassigned,"Unassigned, Washington, US",0,0,0,0
2020-02-24,US,Washington,0.0,0.0,84090053.0,US,USA,840,90053.0,Unassigned,"Unassigned, Washington, US",0,0,0,0
2020-02-25,US,Washington,0.0,0.0,84090053.0,US,USA,840,90053.0,Unassigned,"Unassigned, Washington, US",0,0,0,0
2020-02-26,US,Washington,0.0,0.0,84090053.0,US,USA,840,90053.0,Unassigned,"Unassigned, Washington, US",0,0,0,0
2020-02-27,US,Washington,0.0,0.0,84090053.0,US,USA,840,90053.0,Unassigned,"Unassigned, Washington, US",0,0,0,0
2020-02-28,US,Washington,0.0,0.0,84090053.0,US,USA,840,90053.0,Unassigned,"Unassigned, Washington, US",0,0,0,0
2020-02-29,US,Washington,0.0,0.0,84090053.0,US,USA,840,90053.0,Unassigned,"Unassigned, Washington, US",0,0,0,0
2020-03-01,US,Washington,0.0,0.0,84090053.0,US,USA,840,90053.0,Unassigned,"Unassigned, Washington, US",0,0,0,0
2020-03-02,US,Washington,0.0,0.0,84090053.0,US,USA,840,90053.0,Unassigned,"Unassigned, Washington, US",0,0,0,0
2020-03-03,US,Washington,0.0,0.0,84090053.0,US,USA,840,90053.0,Unassigned,"Unassigned, Washington, US",0,0,0,0
2020-03-04,US,Washington,0.0,0.0,84090053.0,US,USA,840,90053.0,Unassigned,"Unassigned, Washington, US",0,0,0,0
2020-03-05,US,Washington,0.0,0.0,84090053.0,US,USA,840,90053.0,Unassigned,"Unassigned, Washington, US",0,0,0,0
2020-03-06,US,Washington,0.0,0.0,84090053.0,US,USA,840,90053.0,Unassigned,"Unassigned, Washington, US",0,0,0,0
2020-03-07,US,Washington,0.0,0.0,84090053.0,US,USA,840,90053.0,Unassigned,"Unassigned, Washington, US",0,0,0,0
2020-03-08,US,Washington,0.0,0.0,84090053.0,US,USA,840,90053.0,Unassigned,"Unassigned, Washington, US",0,0,0,0
2020-03-09,US,Washington,0.0,0.0,84090053.0,US,USA,840,90053.0,Unassigned,"Unassigned, Washington, US",0,0,0,0
2020-03-10,US,Washington,0.0,0.0,84090053.0,US,USA,840,90053.0,Unassigned,"Unassigned, Washington, US",5,5,0,0
2020-03-11,US,Washington,0.0,0.0,84090053.0,US,USA,840,90053.0,Unassigned,"Unassigned, Washington, US",0,-5,0,0
2020-03-12,US,Washington,0.0,0.0,84090053.0,US,USA,840,90053.0,Unassigned,"Unassigned, Washington, US",36,36,0,0
2020-03-13,US,Washington,0.0,0.0,84090053.0,US,USA,840,90053.0,Unassigned,"Unassigned, Washington, US",65,29,0,0
2020-03-14,US,Washington,0.0,0.0,84090053.0,US,USA,840,90053.0,Unassigned,"Unassigned, Washington, US",39,-26,0,0
2020-03-15,US,Washington,0.0,0.0,84090053.0,US,USA,840,90053.0,Unassigned,"Unassigned, Washington, US",0,-39,0,0
2020-03-16,US,Washington,0.0,0.0,84090053.0,US,USA,840,90053.0,Unassigned,"Unassigned, Washington, US",0,0,0,0
2020-03-17,US,Washington,0.0,0.0,84090053.0,US,USA,840,90053.0,Unassigned,"Unassigned, Washington, US",0,0,0,0
2020-03-18,US,Washington,0.0,0.0,84090053.0,US,USA,840,90053.0,Unassigned,"Unassigned, Washington, US",0,0,0,0
2020-03-19,US,Washington,0.0,0.0,84090053.0,US,USA,840,90053.0,Unassigned,"Unassigned, Washington, US",151,151,0,0
2020-03-20,US,Washington,0.0,0.0,84090053.0,US,USA,840,90053.0,Unassigned,"Unassigned, Washington, US",130,-21,0,0
2020-03-21,US,Washington,0.0,0.0,84090053.0,US,USA,840,90053.0,Unassigned,"Unassigned, Washington, US",146,16,0,0
2020-03-22,US,Washington,0.0,0.0,84090053.0,US,USA,840,90053.0,Unassigned,"Unassigned, Washington, US",164,18,0,0
2020-03-23,US,Washington,0.0,0.0,84090053.0,US,USA,840,90053.0,Unassigned,"Unassigned, Washington, US",145,-19,0,0
2020-03-24,US,Washington,0.0,0.0,84090053.0,US,USA,840,90053.0,Unassigned,"Unassigned, Washington, US",112,-33,0,0
2020-03-25,US,Washington,0.0,0.0,84090053.0,US,USA,840,90053.0,Unassigned,"Unassigned, Washington, US",51,-61,0,0
2020-03-26,US,Washington,0.0,0.0,84090053.0,US,USA,840,90053.0,Unassigned,"Unassigned, Washington, US",69,18,0,0
2020-03-27,US,Washington,0.0,0.0,84090053.0,US,USA,840,90053.0,Unassigned,"Unassigned, Washington, US",67,-2,0,0
2020-03-28,US,Washington,0.0,0.0,84090053.0,US,USA,840,90053.0,Unassigned,"Unassigned, Washington, US",0,-67,0,0
2020-03-29,US,Washington,0.0,0.0,84090053.0,US,USA,840,90053.0,Unassigned,"Unassigned, Washington, US",125,125,0,0
2020-03-30,US,Washington,0.0,0.0,84090053.0,US,USA,840,90053.0,Unassigned,"Unassigned, Washington, US",274,149,0,0
2020-03-31,US,Washington,0.0,0.0,84090053.0,US,USA,840,90053.0,Unassigned,"Unassigned, Washington, US",274,0,0,0
2020-04-01,US,Washington,0.0,0.0,84090053.0,US,USA,840,90053.0,Unassigned,"Unassigned, Washington, US",303,29,0,0
2020-04-02,US,Washington,0.0,0.0,84090053.0,US,USA,840,90053.0,Unassigned,"Unassigned, Washington, US",344,41,0,0
2020-04-03,US,Washington,0.0,0.0,84090053.0,US,USA,840,90053.0,Unassigned,"Unassigned, Washington, US",501,157,0,0
2020-04-04,US,Washington,0.0,0.0,84090053.0,US,USA,840,90053.0,Unassigned,"Unassigned, Washington, US",483,-18,0,0
2020-04-05,US,Washington,0.0,0.0,84090053.0,US,USA,840,90053.0,Unassigned,"Unassigned, Washington, US",533,50,0,0
2020-04-06,US,Washington,0.0,0.0,84090053.0,US,USA,840,90053.0,Unassigned,"Unassigned, Washington, US",648,115,0,0
2020-04-07,US,Washington,0.0,0.0,84090053.0,US,USA,840,90053.0,Unassigned,"Unassigned, Washington, US",677,29,0,0
2020-04-08,US,Washington,0.0,0.0,84090053.0,US,USA,840,90053.0,Unassigned,"Unassigned, Washington, US",915,238,0,0
2020-04-09,US,Washington,0.0,0.0,84090053.0,US,USA,840,90053.0,Unassigned,"Unassigned, Washington, US",838,-77,0,0
2020-04-10,US,Washington,0.0,0.0,84090053.0,US,USA,840,90053.0,Unassigned,"Unassigned, Washington, US",908,70,0,0
2020-04-11,US,Washington,0.0,0.0,84090053.0,US,USA,840,90053.0,Unassigned,"Unassigned, Washington, US",848,-60,0,0
2020-04-12,US,Washington,0.0,0.0,84090053.0,US,USA,840,90053.0,Unassigned,"Unassigned, Washington, US",732,-116,0,0
2020-04-13,US,Washington,0.0,0.0,84090053.0,US,USA,840,90053.0,Unassigned,"Unassigned, Washington, US",619,-113,0,0
2020-04-14,US,Washington,0.0,0.0,84090053.0,US,USA,840,90053.0,Unassigned,"Unassigned, Washington, US",484,-135,0,0
2020-04-15,US,Washington,0.0,0.0,84090053.0,US,USA,840,90053.0,Unassigned,"Unassigned, Washington, US",383,-101,0,0
2020-04-16,US,Washington,0.0,0.0,84090053.0,US,USA,840,90053.0,Unassigned,"Unassigned, Washington, US",272,-111,0,0
2020-04-17,US,Washington,0.0,0.0,84090053.0,US,USA,840,90053.0,Unassigned,"Unassigned, Washington, US",334,62,0,0
