country,date,confirmed,deaths,recovered,confirmed_new,deaths_new,recovered_new,lat,long
australia,2020-01-22,0,0,0.0,0,0,0.0,-35.4735,149.0124
australia,2020-01-23,0,0,0.0,0,0,0.0,-35.4735,149.0124
australia,2020-01-24,0,0,0.0,0,0,0.0,-35.4735,149.0124
australia,2020-01-25,0,0,0.0,0,0,0.0,-35.4735,149.0124
australia,2020-01-26,4,0,0.0,0,0,0.0,-35.4735,149.0124
australia,2020-01-27,5,0,0.0,0,0,0.0,-35.4735,149.0124
australia,2020-01-28,5,0,0.0,0,0,0.0,-35.4735,149.0124
australia,2020-01-29,6,0,0.0,0,0,0.0,-35.4735,149.0124
australia,2020-01-30,9,0,2.0,0,0,0.0,-35.4735,149.0124
australia,2020-01-31,9,0,2.0,0,0,0.0,-35.4735,149.0124
australia,2020-02-01,12,0,2.0,0,0,0.0,-35.4735,149.0124
australia,2020-02-02,12,0,2.0,0,0,0.0,-35.4735,149.0124
australia,2020-02-03,12,0,2.0,0,0,0.0,-35.4735,149.0124
australia,2020-02-04,13,0,2.0,0,0,0.0,-35.4735,149.0124
australia,2020-02-05,13,0,2.0,0,0,0.0,-35.4735,149.0124
australia,2020-02-06,14,0,2.0,0,0,0.0,-35.4735,149.0124
australia,2020-02-07,15,0,2.0,0,0,0.0,-35.4735,149.0124
australia,2020-02-08,15,0,2.0,0,0,0.0,-35.4735,149.0124
australia,2020-02-09,15,0,2.0,0,0,0.0,-35.4735,149.0124
australia,2020-02-10,15,0,2.0,0,0,0.0,-35.4735,149.0124
australia,2020-02-11,15,0,2.0,0,0,0.0,-35.4735,149.0124
australia,2020-02-12,15,0,2.0,0,0,0.0,-35.4735,149.0124
australia,2020-02-13,15,0,8.0,0,0,0.0,-35.4735,149.0124
australia,2020-02-14,15,0,8.0,0,0,0.0,-35.4735,149.0124
australia,2020-02-15,15,0,8.0,0,0,0.0,-35.4735,149.0124
australia,2020-02-16,15,0,8.0,0,0,0.0,-35.4735,149.0124
australia,2020-02-17,15,0,10.0,0,0,0.0,-35.4735,149.0124
australia,2020-02-18,15,0,10.0,0,0,0.0,-35.4735,149.0124
australia,2020-02-19,15,0,10.0,0,0,0.0,-35.4735,149.0124
australia,2020-02-20,15,0,10.0,0,0,0.0,-35.4735,149.0124
australia,2020-02-21,15,0,11.0,0,0,0.0,-35.4735,149.0124
australia,2020-02-22,15,0,11.0,0,0,0.0,-35.4735,149.0124
australia,2020-02-23,15,0,11.0,0,0,0.0,-35.4735,149.0124
australia,2020-02-24,15,0,11.0,0,0,0.0,-35.4735,149.0124
australia,2020-02-25,15,0,11.0,0,0,0.0,-35.4735,149.0124
australia,2020-02-26,15,0,11.0,0,0,0.0,-35.4735,149.0124
australia,2020-02-27,15,0,11.0,0,0,0.0,-35.4735,149.0124
australia,2020-02-28,15,0,11.0,0,0,0.0,-35.4735,149.0124
australia,2020-02-29,25,0,11.0,2,0,0.0,-35.4735,149.0124
australia,2020-03-01,27,1,11.0,0,1,0.0,-35.4735,149.0124
australia,2020-03-02,30,1,11.0,0,0,0.0,-35.4735,149.0124
australia,2020-03-03,39,1,11.0,0,0,0.0,-35.4735,149.0124
australia,2020-03-04,52,2,11.0,0,0,0.0,-35.4735,149.0124
australia,2020-03-05,55,2,21.0,1,0,0.0,-35.4735,149.0124
australia,2020-03-06,60,2,21.0,0,0,0.0,-35.4735,149.0124
australia,2020-03-07,63,2,21.0,0,0,0.0,-35.4735,149.0124
australia,2020-03-08,76,3,21.0,0,0,0.0,-35.4735,149.0124
australia,2020-03-09,91,3,21.0,1,0,0.0,-35.4735,149.0124
australia,2020-03-10,107,3,21.0,2,0,0.0,-35.4735,149.0124
australia,2020-03-11,128,3,21.0,3,0,0.0,-35.4735,149.0124
australia,2020-03-12,128,3,21.0,0,0,0.0,-35.4735,149.0124
australia,2020-03-13,200,3,23.0,5,0,0.0,-35.4735,149.0124
australia,2020-03-14,250,3,23.0,3,0,0.0,-35.4735,149.0124
australia,2020-03-15,297,3,23.0,0,0,0.0,-35.4735,149.0124
australia,2020-03-16,377,3,23.0,11,0,0.0,-35.4735,149.0124
australia,2020-03-17,452,5,23.0,3,0,0.0,-35.4735,149.0124
australia,2020-03-18,568,6,23.0,4,0,0.0,-35.4735,149.0124
australia,2020-03-19,681,6,26.0,17,0,0.0,-35.4735,149.0124
australia,2020-03-20,791,7,26.0,12,0,0.0,-35.4735,149.0124
australia,2020-03-21,1071,7,26.0,26,0,0.0,-35.4735,149.0124
australia,2020-03-22,1549,7,88.0,30,0,0.0,-35.4735,149.0124
australia,2020-03-23,1682,7,88.0,20,0,0.0,-35.4735,149.0124
australia,2020-03-24,2044,8,115.0,35,0,0.0,-35.4735,149.0124
australia,2020-03-25,2364,8,119.0,0,0,1.0,-35.4735,149.0124
australia,2020-03-26,2810,13,172.0,56,1,0.0,-35.4735,149.0124
australia,2020-03-27,3143,13,194.0,0,0,0.0,-35.4735,149.0124
australia,2020-03-28,3640,14,244.0,47,0,27.0,-35.4735,149.0124
australia,2020-03-29,3984,16,244.0,33,0,0.0,-35.4735,149.0124
australia,2020-03-30,4361,17,257.0,44,0,13.0,-35.4735,149.0124
australia,2020-03-31,4559,18,358.0,9,0,0.0,-35.4735,149.0124
australia,2020-04-01,4862,20,422.0,28,0,7.0,-35.4735,149.0124
australia,2020-04-02,5116,24,520.0,8,0,16.0,-35.4735,149.0124
