date,country,state,lat,long,confirmed,deaths,recovered,confirmed_new,deaths_new,recovered_new
2020-01-22,armenia,,40.0691,45.0382,0,0,0.0,0,0,0.0
2020-01-23,armenia,,40.0691,45.0382,0,0,0.0,0,0,0.0
2020-01-24,armenia,,40.0691,45.0382,0,0,0.0,0,0,0.0
2020-01-25,armenia,,40.0691,45.0382,0,0,0.0,0,0,0.0
2020-01-26,armenia,,40.0691,45.0382,0,0,0.0,0,0,0.0
2020-01-27,armenia,,40.0691,45.0382,0,0,0.0,0,0,0.0
2020-01-28,armenia,,40.0691,45.0382,0,0,0.0,0,0,0.0
2020-01-29,armenia,,40.0691,45.0382,0,0,0.0,0,0,0.0
2020-01-30,armenia,,40.0691,45.0382,0,0,0.0,0,0,0.0
2020-01-31,armenia,,40.0691,45.0382,0,0,0.0,0,0,0.0
2020-02-01,armenia,,40.0691,45.0382,0,0,0.0,0,0,0.0
2020-02-02,armenia,,40.0691,45.0382,0,0,0.0,0,0,0.0
2020-02-03,armenia,,40.0691,45.0382,0,0,0.0,0,0,0.0
2020-02-04,armenia,,40.0691,45.0382,0,0,0.0,0,0,0.0
2020-02-05,armenia,,40.0691,45.0382,0,0,0.0,0,0,0.0
2020-02-06,armenia,,40.0691,45.0382,0,0,0.0,0,0,0.0
2020-02-07,armenia,,40.0691,45.0382,0,0,0.0,0,0,0.0
2020-02-08,armenia,,40.0691,45.0382,0,0,0.0,0,0,0.0
2020-02-09,armenia,,40.0691,45.0382,0,0,0.0,0,0,0.0
2020-02-10,armenia,,40.0691,45.0382,0,0,0.0,0,0,0.0
2020-02-11,armenia,,40.0691,45.0382,0,0,0.0,0,0,0.0
2020-02-12,armenia,,40.0691,45.0382,0,0,0.0,0,0,0.0
2020-02-13,armenia,,40.0691,45.0382,0,0,0.0,0,0,0.0
2020-02-14,armenia,,40.0691,45.0382,0,0,0.0,0,0,0.0
2020-02-15,armenia,,40.0691,45.0382,0,0,0.0,0,0,0.0
2020-02-16,armenia,,40.0691,45.0382,0,0,0.0,0,0,0.0
2020-02-17,armenia,,40.0691,45.0382,0,0,0.0,0,0,0.0
2020-02-18,armenia,,40.0691,45.0382,0,0,0.0,0,0,0.0
2020-02-19,armenia,,40.0691,45.0382,0,0,0.0,0,0,0.0
2020-02-20,armenia,,40.0691,45.0382,0,0,0.0,0,0,0.0
2020-02-21,armenia,,40.0691,45.0382,0,0,0.0,0,0,0.0
2020-02-22,armenia,,40.0691,45.0382,0,0,0.0,0,0,0.0
2020-02-23,armenia,,40.0691,45.0382,0,0,0.0,0,0,0.0
2020-02-24,armenia,,40.0691,45.0382,0,0,0.0,0,0,0.0
2020-02-25,armenia,,40.0691,45.0382,0,0,0.0,0,0,0.0
2020-02-26,armenia,,40.0691,45.0382,0,0,0.0,0,0,0.0
2020-02-27,armenia,,40.0691,45.0382,0,0,0.0,0,0,0.0
2020-02-28,armenia,,40.0691,45.0382,0,0,0.0,0,0,0.0
2020-02-29,armenia,,40.0691,45.0382,0,0,0.0,0,0,0.0
