date,country,state,lat,long,confirmed,deaths,recovered,confirmed_new,deaths_new,recovered_new
2020-01-22,estonia,,58.5953,25.0136,0,0,0.0,0,0,0.0
2020-01-23,estonia,,58.5953,25.0136,0,0,0.0,0,0,0.0
2020-01-24,estonia,,58.5953,25.0136,0,0,0.0,0,0,0.0
2020-01-25,estonia,,58.5953,25.0136,0,0,0.0,0,0,0.0
2020-01-26,estonia,,58.5953,25.0136,0,0,0.0,0,0,0.0
2020-01-27,estonia,,58.5953,25.0136,0,0,0.0,0,0,0.0
2020-01-28,estonia,,58.5953,25.0136,0,0,0.0,0,0,0.0
2020-01-29,estonia,,58.5953,25.0136,0,0,0.0,0,0,0.0
2020-01-30,estonia,,58.5953,25.0136,0,0,0.0,0,0,0.0
2020-01-31,estonia,,58.5953,25.0136,0,0,0.0,0,0,0.0
2020-02-01,estonia,,58.5953,25.0136,0,0,0.0,0,0,0.0
2020-02-02,estonia,,58.5953,25.0136,0,0,0.0,0,0,0.0
2020-02-03,estonia,,58.5953,25.0136,0,0,0.0,0,0,0.0
2020-02-04,estonia,,58.5953,25.0136,0,0,0.0,0,0,0.0
2020-02-05,estonia,,58.5953,25.0136,0,0,0.0,0,0,0.0
2020-02-06,estonia,,58.5953,25.0136,0,0,0.0,0,0,0.0
2020-02-07,estonia,,58.5953,25.0136,0,0,0.0,0,0,0.0
2020-02-08,estonia,,58.5953,25.0136,0,0,0.0,0,0,0.0
2020-02-09,estonia,,58.5953,25.0136,0,0,0.0,0,0,0.0
2020-02-10,estonia,,58.5953,25.0136,0,0,0.0,0,0,0.0
2020-02-11,estonia,,58.5953,25.0136,0,0,0.0,0,0,0.0
2020-02-12,estonia,,58.5953,25.0136,0,0,0.0,0,0,0.0
2020-02-13,estonia,,58.5953,25.0136,0,0,0.0,0,0,0.0
2020-02-14,estonia,,58.5953,25.0136,0,0,0.0,0,0,0.0
2020-02-15,estonia,,58.5953,25.0136,0,0,0.0,0,0,0.0
2020-02-16,estonia,,58.5953,25.0136,0,0,0.0,0,0,0.0
2020-02-17,estonia,,58.5953,25.0136,0,0,0.0,0,0,0.0
2020-02-18,estonia,,58.5953,25.0136,0,0,0.0,0,0,0.0
2020-02-19,estonia,,58.5953,25.0136,0,0,0.0,0,0,0.0
2020-02-20,estonia,,58.5953,25.0136,0,0,0.0,0,0,0.0
2020-02-21,estonia,,58.5953,25.0136,0,0,0.0,0,0,0.0
2020-02-22,estonia,,58.5953,25.0136,0,0,0.0,0,0,0.0
2020-02-23,estonia,,58.5953,25.0136,0,0,0.0,0,0,0.0
2020-02-24,estonia,,58.5953,25.0136,0,0,0.0,0,0,0.0
2020-02-25,estonia,,58.5953,25.0136,0,0,0.0,0,0,0.0
2020-02-26,estonia,,58.5953,25.0136,0,0,0.0,0,0,0.0
2020-02-27,estonia,,58.5953,25.0136,1,0,0.0,1,0,0.0
2020-02-28,estonia,,58.5953,25.0136,1,0,0.0,0,0,0.0
2020-02-29,estonia,,58.5953,25.0136,1,0,0.0,0,0,0.0
2020-03-01,estonia,,58.5953,25.0136,1,0,0.0,0,0,0.0
2020-03-02,estonia,,58.5953,25.0136,1,0,0.0,0,0,0.0
2020-03-03,estonia,,58.5953,25.0136,2,0,0.0,1,0,0.0
2020-03-04,estonia,,58.5953,25.0136,2,0,0.0,0,0,0.0
2020-03-05,estonia,,58.5953,25.0136,3,0,0.0,1,0,0.0
2020-03-06,estonia,,58.5953,25.0136,10,0,0.0,7,0,0.0
2020-03-07,estonia,,58.5953,25.0136,10,0,0.0,0,0,0.0
2020-03-08,estonia,,58.5953,25.0136,10,0,0.0,0,0,0.0
2020-03-09,estonia,,58.5953,25.0136,10,0,0.0,0,0,0.0
2020-03-10,estonia,,58.5953,25.0136,12,0,0.0,2,0,0.0
2020-03-11,estonia,,58.5953,25.0136,16,0,0.0,4,0,0.0
2020-03-12,estonia,,58.5953,25.0136,16,0,0.0,0,0,0.0
2020-03-13,estonia,,58.5953,25.0136,79,0,0.0,63,0,0.0
2020-03-14,estonia,,58.5953,25.0136,115,0,0.0,36,0,0.0
2020-03-15,estonia,,58.5953,25.0136,171,0,1.0,56,0,1.0
2020-03-16,estonia,,58.5953,25.0136,205,0,1.0,34,0,0.0
2020-03-17,estonia,,58.5953,25.0136,225,0,1.0,20,0,0.0
2020-03-18,estonia,,58.5953,25.0136,258,0,1.0,33,0,0.0
2020-03-19,estonia,,58.5953,25.0136,267,0,1.0,9,0,0.0
2020-03-20,estonia,,58.5953,25.0136,283,0,1.0,16,0,0.0
2020-03-21,estonia,,58.5953,25.0136,306,0,1.0,23,0,0.0
2020-03-22,estonia,,58.5953,25.0136,326,0,2.0,20,0,1.0
2020-03-23,estonia,,58.5953,25.0136,352,0,2.0,26,0,0.0
2020-03-24,estonia,,58.5953,25.0136,369,0,7.0,17,0,5.0
2020-03-25,estonia,,58.5953,25.0136,404,1,8.0,35,1,1.0
2020-03-26,estonia,,58.5953,25.0136,538,1,8.0,134,0,0.0
2020-03-27,estonia,,58.5953,25.0136,575,1,11.0,37,0,3.0
2020-03-28,estonia,,58.5953,25.0136,645,1,20.0,70,0,9.0
2020-03-29,estonia,,58.5953,25.0136,679,3,20.0,34,2,0.0
2020-03-30,estonia,,58.5953,25.0136,715,3,20.0,36,0,0.0
2020-03-31,estonia,,58.5953,25.0136,745,4,26.0,30,1,6.0
2020-04-01,estonia,,58.5953,25.0136,779,5,33.0,34,1,7.0
2020-04-02,estonia,,58.5953,25.0136,858,11,45.0,79,6,12.0
2020-04-03,estonia,,58.5953,25.0136,961,12,48.0,103,1,3.0
2020-04-04,estonia,,58.5953,25.0136,1039,13,59.0,78,1,11.0
2020-04-05,estonia,,58.5953,25.0136,1097,15,62.0,58,2,3.0
2020-04-06,estonia,,58.5953,25.0136,1108,19,62.0,11,4,0.0
2020-04-07,estonia,,58.5953,25.0136,1149,21,69.0,41,2,7.0
2020-04-08,estonia,,58.5953,25.0136,1185,24,72.0,36,3,3.0
2020-04-09,estonia,,58.5953,25.0136,1207,24,83.0,22,0,11.0
2020-04-10,estonia,,58.5953,25.0136,1258,24,93.0,51,0,10.0
2020-04-11,estonia,,58.5953,25.0136,1304,24,93.0,46,0,0.0
2020-04-12,estonia,,58.5953,25.0136,1309,25,98.0,5,1,5.0
2020-04-13,estonia,,58.5953,25.0136,1332,28,102.0,23,3,4.0
2020-04-14,estonia,,58.5953,25.0136,1373,31,115.0,41,3,13.0
2020-04-15,estonia,,58.5953,25.0136,1400,35,117.0,27,4,2.0
2020-04-16,estonia,,58.5953,25.0136,1434,36,133.0,34,1,16.0
2020-04-17,estonia,,58.5953,25.0136,1459,38,145.0,25,2,12.0
2020-04-18,estonia,,58.5953,25.0136,1512,38,162.0,53,0,17.0
2020-04-19,estonia,,58.5953,25.0136,1528,40,164.0,16,2,2.0
2020-04-20,estonia,,58.5953,25.0136,1535,40,165.0,7,0,1.0
2020-04-21,estonia,,58.5953,25.0136,1552,43,169.0,17,3,4.0
2020-04-22,estonia,,58.5953,25.0136,1559,44,184.0,7,1,15.0
2020-04-23,estonia,,58.5953,25.0136,1592,45,192.0,33,1,8.0
2020-04-24,estonia,,58.5953,25.0136,1605,46,206.0,13,1,14.0
2020-04-25,estonia,,58.5953,25.0136,1635,46,228.0,30,0,22.0
2020-04-26,estonia,,58.5953,25.0136,1643,49,233.0,8,3,5.0
2020-04-27,estonia,,58.5953,25.0136,1647,50,233.0,4,1,0.0
2020-04-28,estonia,,58.5953,25.0136,1660,50,240.0,13,0,7.0
2020-04-29,estonia,,58.5953,25.0136,1666,50,236.0,6,0,-4.0
2020-04-30,estonia,,58.5953,25.0136,1689,52,249.0,23,2,13.0
2020-05-01,estonia,,58.5953,25.0136,1694,52,253.0,5,0,4.0
2020-05-02,estonia,,58.5953,25.0136,1699,53,256.0,5,1,3.0
2020-05-03,estonia,,58.5953,25.0136,1700,55,259.0,1,2,3.0
2020-05-04,estonia,,58.5953,25.0136,1703,55,259.0,3,0,0.0
2020-05-05,estonia,,58.5953,25.0136,1711,55,261.0,8,0,2.0
2020-05-06,estonia,,58.5953,25.0136,1713,55,264.0,2,0,3.0
2020-05-07,estonia,,58.5953,25.0136,1720,56,273.0,7,1,9.0
2020-05-08,estonia,,58.5953,25.0136,1725,56,704.0,5,0,431.0
2020-05-09,estonia,,58.5953,25.0136,1733,60,747.0,8,4,43.0
2020-05-10,estonia,,58.5953,25.0136,1739,60,750.0,6,0,3.0
2020-05-11,estonia,,58.5953,25.0136,1741,61,751.0,2,1,1.0
2020-05-12,estonia,,58.5953,25.0136,1746,61,777.0,5,0,26.0
2020-05-13,estonia,,58.5953,25.0136,1751,61,777.0,5,0,0.0
2020-05-14,estonia,,58.5953,25.0136,1758,62,909.0,7,1,132.0
2020-05-15,estonia,,58.5953,25.0136,1766,63,923.0,8,1,14.0
2020-05-16,estonia,,58.5953,25.0136,1770,63,934.0,4,0,11.0
2020-05-17,estonia,,58.5953,25.0136,1774,63,938.0,4,0,4.0
2020-05-18,estonia,,58.5953,25.0136,1784,64,938.0,10,1,0.0
2020-05-19,estonia,,58.5953,25.0136,1791,64,938.0,7,0,0.0
2020-05-20,estonia,,58.5953,25.0136,1794,64,956.0,3,0,18.0
