date,country,state,lat,long,confirmed,deaths,recovered,confirmed_new,deaths_new,recovered_new
2020-01-22,egypt,,26.0,30.0,0,0,0.0,0,0,0.0
2020-01-23,egypt,,26.0,30.0,0,0,0.0,0,0,0.0
2020-01-24,egypt,,26.0,30.0,0,0,0.0,0,0,0.0
2020-01-25,egypt,,26.0,30.0,0,0,0.0,0,0,0.0
2020-01-26,egypt,,26.0,30.0,0,0,0.0,0,0,0.0
2020-01-27,egypt,,26.0,30.0,0,0,0.0,0,0,0.0
2020-01-28,egypt,,26.0,30.0,0,0,0.0,0,0,0.0
2020-01-29,egypt,,26.0,30.0,0,0,0.0,0,0,0.0
2020-01-30,egypt,,26.0,30.0,0,0,0.0,0,0,0.0
2020-01-31,egypt,,26.0,30.0,0,0,0.0,0,0,0.0
2020-02-01,egypt,,26.0,30.0,0,0,0.0,0,0,0.0
2020-02-02,egypt,,26.0,30.0,0,0,0.0,0,0,0.0
2020-02-03,egypt,,26.0,30.0,0,0,0.0,0,0,0.0
2020-02-04,egypt,,26.0,30.0,0,0,0.0,0,0,0.0
2020-02-05,egypt,,26.0,30.0,0,0,0.0,0,0,0.0
2020-02-06,egypt,,26.0,30.0,0,0,0.0,0,0,0.0
2020-02-07,egypt,,26.0,30.0,0,0,0.0,0,0,0.0
2020-02-08,egypt,,26.0,30.0,0,0,0.0,0,0,0.0
2020-02-09,egypt,,26.0,30.0,0,0,0.0,0,0,0.0
2020-02-10,egypt,,26.0,30.0,0,0,0.0,0,0,0.0
2020-02-11,egypt,,26.0,30.0,0,0,0.0,0,0,0.0
2020-02-12,egypt,,26.0,30.0,0,0,0.0,0,0,0.0
2020-02-13,egypt,,26.0,30.0,0,0,0.0,0,0,0.0
2020-02-14,egypt,,26.0,30.0,1,0,0.0,1,0,0.0
2020-02-15,egypt,,26.0,30.0,1,0,0.0,0,0,0.0
2020-02-16,egypt,,26.0,30.0,1,0,0.0,0,0,0.0
2020-02-17,egypt,,26.0,30.0,1,0,0.0,0,0,0.0
2020-02-18,egypt,,26.0,30.0,1,0,0.0,0,0,0.0
2020-02-19,egypt,,26.0,30.0,1,0,0.0,0,0,0.0
2020-02-20,egypt,,26.0,30.0,1,0,0.0,0,0,0.0
2020-02-21,egypt,,26.0,30.0,1,0,0.0,0,0,0.0
2020-02-22,egypt,,26.0,30.0,1,0,0.0,0,0,0.0
2020-02-23,egypt,,26.0,30.0,1,0,0.0,0,0,0.0
2020-02-24,egypt,,26.0,30.0,1,0,0.0,0,0,0.0
2020-02-25,egypt,,26.0,30.0,1,0,0.0,0,0,0.0
2020-02-26,egypt,,26.0,30.0,1,0,0.0,0,0,0.0
2020-02-27,egypt,,26.0,30.0,1,0,0.0,0,0,0.0
2020-02-28,egypt,,26.0,30.0,1,0,1.0,0,0,1.0
2020-02-29,egypt,,26.0,30.0,1,0,1.0,0,0,0.0
2020-03-01,egypt,,26.0,30.0,2,0,1.0,1,0,0.0
2020-03-02,egypt,,26.0,30.0,2,0,1.0,0,0,0.0
2020-03-03,egypt,,26.0,30.0,2,0,1.0,0,0,0.0
2020-03-04,egypt,,26.0,30.0,2,0,1.0,0,0,0.0
2020-03-05,egypt,,26.0,30.0,3,0,1.0,1,0,0.0
2020-03-06,egypt,,26.0,30.0,15,0,1.0,12,0,0.0
2020-03-07,egypt,,26.0,30.0,15,0,1.0,0,0,0.0
2020-03-08,egypt,,26.0,30.0,49,1,1.0,34,1,0.0
2020-03-09,egypt,,26.0,30.0,55,1,1.0,6,0,0.0
2020-03-10,egypt,,26.0,30.0,59,1,1.0,4,0,0.0
2020-03-11,egypt,,26.0,30.0,60,1,27.0,1,0,26.0
2020-03-12,egypt,,26.0,30.0,67,1,27.0,7,0,0.0
2020-03-13,egypt,,26.0,30.0,80,2,27.0,13,1,0.0
2020-03-14,egypt,,26.0,30.0,109,2,27.0,29,0,0.0
2020-03-15,egypt,,26.0,30.0,110,2,21.0,1,0,-6.0
2020-03-16,egypt,,26.0,30.0,150,2,27.0,40,0,6.0
2020-03-17,egypt,,26.0,30.0,196,4,32.0,46,2,5.0
2020-03-18,egypt,,26.0,30.0,196,6,32.0,0,2,0.0
2020-03-19,egypt,,26.0,30.0,256,6,32.0,60,0,0.0
2020-03-20,egypt,,26.0,30.0,285,8,39.0,29,2,7.0
2020-03-21,egypt,,26.0,30.0,294,10,41.0,9,2,2.0
2020-03-22,egypt,,26.0,30.0,327,14,56.0,33,4,15.0
2020-03-23,egypt,,26.0,30.0,366,19,56.0,39,5,0.0
2020-03-24,egypt,,26.0,30.0,402,20,80.0,36,1,24.0
2020-03-25,egypt,,26.0,30.0,456,21,95.0,54,1,15.0
2020-03-26,egypt,,26.0,30.0,495,24,102.0,39,3,7.0
2020-03-27,egypt,,26.0,30.0,536,30,116.0,41,6,14.0
2020-03-28,egypt,,26.0,30.0,576,36,121.0,40,6,5.0
2020-03-29,egypt,,26.0,30.0,609,40,132.0,33,4,11.0
2020-03-30,egypt,,26.0,30.0,656,41,150.0,47,1,18.0
2020-03-31,egypt,,26.0,30.0,710,46,157.0,54,5,7.0
2020-04-01,egypt,,26.0,30.0,779,52,179.0,69,6,22.0
2020-04-02,egypt,,26.0,30.0,865,58,201.0,86,6,22.0
