date,country,state,lat,long,confirmed,deaths,recovered,confirmed_new,deaths_new,recovered_new
2020-01-22,austria,,47.5162,14.5501,0,0,0.0,0,0,0.0
2020-01-23,austria,,47.5162,14.5501,0,0,0.0,0,0,0.0
2020-01-24,austria,,47.5162,14.5501,0,0,0.0,0,0,0.0
2020-01-25,austria,,47.5162,14.5501,0,0,0.0,0,0,0.0
2020-01-26,austria,,47.5162,14.5501,0,0,0.0,0,0,0.0
2020-01-27,austria,,47.5162,14.5501,0,0,0.0,0,0,0.0
2020-01-28,austria,,47.5162,14.5501,0,0,0.0,0,0,0.0
2020-01-29,austria,,47.5162,14.5501,0,0,0.0,0,0,0.0
2020-01-30,austria,,47.5162,14.5501,0,0,0.0,0,0,0.0
2020-01-31,austria,,47.5162,14.5501,0,0,0.0,0,0,0.0
2020-02-01,austria,,47.5162,14.5501,0,0,0.0,0,0,0.0
2020-02-02,austria,,47.5162,14.5501,0,0,0.0,0,0,0.0
2020-02-03,austria,,47.5162,14.5501,0,0,0.0,0,0,0.0
2020-02-04,austria,,47.5162,14.5501,0,0,0.0,0,0,0.0
2020-02-05,austria,,47.5162,14.5501,0,0,0.0,0,0,0.0
2020-02-06,austria,,47.5162,14.5501,0,0,0.0,0,0,0.0
2020-02-07,austria,,47.5162,14.5501,0,0,0.0,0,0,0.0
2020-02-08,austria,,47.5162,14.5501,0,0,0.0,0,0,0.0
2020-02-09,austria,,47.5162,14.5501,0,0,0.0,0,0,0.0
2020-02-10,austria,,47.5162,14.5501,0,0,0.0,0,0,0.0
2020-02-11,austria,,47.5162,14.5501,0,0,0.0,0,0,0.0
2020-02-12,austria,,47.5162,14.5501,0,0,0.0,0,0,0.0
2020-02-13,austria,,47.5162,14.5501,0,0,0.0,0,0,0.0
2020-02-14,austria,,47.5162,14.5501,0,0,0.0,0,0,0.0
2020-02-15,austria,,47.5162,14.5501,0,0,0.0,0,0,0.0
2020-02-16,austria,,47.5162,14.5501,0,0,0.0,0,0,0.0
2020-02-17,austria,,47.5162,14.5501,0,0,0.0,0,0,0.0
2020-02-18,austria,,47.5162,14.5501,0,0,0.0,0,0,0.0
2020-02-19,austria,,47.5162,14.5501,0,0,0.0,0,0,0.0
2020-02-20,austria,,47.5162,14.5501,0,0,0.0,0,0,0.0
2020-02-21,austria,,47.5162,14.5501,0,0,0.0,0,0,0.0
2020-02-22,austria,,47.5162,14.5501,0,0,0.0,0,0,0.0
2020-02-23,austria,,47.5162,14.5501,0,0,0.0,0,0,0.0
2020-02-24,austria,,47.5162,14.5501,0,0,0.0,0,0,0.0
2020-02-25,austria,,47.5162,14.5501,2,0,0.0,2,0,0.0
2020-02-26,austria,,47.5162,14.5501,2,0,0.0,0,0,0.0
2020-02-27,austria,,47.5162,14.5501,3,0,0.0,1,0,0.0
2020-02-28,austria,,47.5162,14.5501,3,0,0.0,0,0,0.0
2020-02-29,austria,,47.5162,14.5501,9,0,0.0,6,0,0.0
2020-03-01,austria,,47.5162,14.5501,14,0,0.0,5,0,0.0
2020-03-02,austria,,47.5162,14.5501,18,0,0.0,4,0,0.0
2020-03-03,austria,,47.5162,14.5501,21,0,0.0,3,0,0.0
2020-03-04,austria,,47.5162,14.5501,29,0,0.0,8,0,0.0
2020-03-05,austria,,47.5162,14.5501,41,0,0.0,12,0,0.0
2020-03-06,austria,,47.5162,14.5501,55,0,0.0,14,0,0.0
2020-03-07,austria,,47.5162,14.5501,79,0,0.0,24,0,0.0
2020-03-08,austria,,47.5162,14.5501,104,0,0.0,25,0,0.0
2020-03-09,austria,,47.5162,14.5501,131,0,2.0,27,0,2.0
2020-03-10,austria,,47.5162,14.5501,182,0,4.0,51,0,2.0
2020-03-11,austria,,47.5162,14.5501,246,0,4.0,64,0,0.0
2020-03-12,austria,,47.5162,14.5501,302,1,4.0,56,1,0.0
2020-03-13,austria,,47.5162,14.5501,504,1,6.0,202,0,2.0
2020-03-14,austria,,47.5162,14.5501,655,1,6.0,151,0,0.0
2020-03-15,austria,,47.5162,14.5501,860,1,6.0,205,0,0.0
2020-03-16,austria,,47.5162,14.5501,1018,3,6.0,158,2,0.0
2020-03-17,austria,,47.5162,14.5501,1332,3,1.0,314,0,-5.0
2020-03-18,austria,,47.5162,14.5501,1646,4,9.0,314,1,8.0
2020-03-19,austria,,47.5162,14.5501,2013,6,9.0,367,2,0.0
2020-03-20,austria,,47.5162,14.5501,2388,6,9.0,375,0,0.0
2020-03-21,austria,,47.5162,14.5501,2814,8,9.0,426,2,0.0
2020-03-22,austria,,47.5162,14.5501,3582,16,9.0,768,8,0.0
2020-03-23,austria,,47.5162,14.5501,4474,21,9.0,892,5,0.0
2020-03-24,austria,,47.5162,14.5501,5283,28,9.0,809,7,0.0
2020-03-25,austria,,47.5162,14.5501,5588,30,9.0,305,2,0.0
2020-03-26,austria,,47.5162,14.5501,6909,49,112.0,1321,19,103.0
2020-03-27,austria,,47.5162,14.5501,7657,58,225.0,748,9,113.0
2020-03-28,austria,,47.5162,14.5501,8271,68,225.0,614,10,0.0
2020-03-29,austria,,47.5162,14.5501,8788,86,479.0,517,18,254.0
