date,country,state,lat,long,confirmed,deaths,recovered,confirmed_new,deaths_new,recovered_new
2020-01-22,pakistan,,30.3753,69.3451,0,0.0,0.0,0,0.0,0.0
2020-01-23,pakistan,,30.3753,69.3451,0,0.0,0.0,0,0.0,0.0
2020-01-24,pakistan,,30.3753,69.3451,0,0.0,0.0,0,0.0,0.0
2020-01-25,pakistan,,30.3753,69.3451,0,0.0,0.0,0,0.0,0.0
2020-01-26,pakistan,,30.3753,69.3451,0,0.0,0.0,0,0.0,0.0
2020-01-27,pakistan,,30.3753,69.3451,0,0.0,0.0,0,0.0,0.0
2020-01-28,pakistan,,30.3753,69.3451,0,0.0,0.0,0,0.0,0.0
2020-01-29,pakistan,,30.3753,69.3451,0,0.0,0.0,0,0.0,0.0
2020-01-30,pakistan,,30.3753,69.3451,0,0.0,0.0,0,0.0,0.0
2020-01-31,pakistan,,30.3753,69.3451,0,0.0,0.0,0,0.0,0.0
2020-02-01,pakistan,,30.3753,69.3451,0,0.0,0.0,0,0.0,0.0
2020-02-02,pakistan,,30.3753,69.3451,0,0.0,0.0,0,0.0,0.0
2020-02-03,pakistan,,30.3753,69.3451,0,0.0,0.0,0,0.0,0.0
2020-02-04,pakistan,,30.3753,69.3451,0,0.0,0.0,0,0.0,0.0
2020-02-05,pakistan,,30.3753,69.3451,0,0.0,0.0,0,0.0,0.0
2020-02-06,pakistan,,30.3753,69.3451,0,0.0,0.0,0,0.0,0.0
2020-02-07,pakistan,,30.3753,69.3451,0,0.0,0.0,0,0.0,0.0
2020-02-08,pakistan,,30.3753,69.3451,0,0.0,0.0,0,0.0,0.0
2020-02-09,pakistan,,30.3753,69.3451,0,0.0,0.0,0,0.0,0.0
2020-02-10,pakistan,,30.3753,69.3451,0,0.0,0.0,0,0.0,0.0
2020-02-11,pakistan,,30.3753,69.3451,0,0.0,0.0,0,0.0,0.0
2020-02-12,pakistan,,30.3753,69.3451,0,0.0,0.0,0,0.0,0.0
2020-02-13,pakistan,,30.3753,69.3451,0,0.0,0.0,0,0.0,0.0
2020-02-14,pakistan,,30.3753,69.3451,0,0.0,0.0,0,0.0,0.0
2020-02-15,pakistan,,30.3753,69.3451,0,0.0,0.0,0,0.0,0.0
2020-02-16,pakistan,,30.3753,69.3451,0,0.0,0.0,0,0.0,0.0
2020-02-17,pakistan,,30.3753,69.3451,0,0.0,0.0,0,0.0,0.0
2020-02-18,pakistan,,30.3753,69.3451,0,0.0,0.0,0,0.0,0.0
2020-02-19,pakistan,,30.3753,69.3451,0,0.0,0.0,0,0.0,0.0
2020-02-20,pakistan,,30.3753,69.3451,0,0.0,0.0,0,0.0,0.0
2020-02-21,pakistan,,30.3753,69.3451,0,0.0,0.0,0,0.0,0.0
2020-02-22,pakistan,,30.3753,69.3451,0,0.0,0.0,0,0.0,0.0
2020-02-23,pakistan,,30.3753,69.3451,0,0.0,0.0,0,0.0,0.0
2020-02-24,pakistan,,30.3753,69.3451,0,0.0,0.0,0,0.0,0.0
2020-02-25,pakistan,,30.3753,69.3451,0,0.0,0.0,0,0.0,0.0
2020-02-26,pakistan,,30.3753,69.3451,2,0.0,0.0,2,0.0,0.0
2020-02-27,pakistan,,30.3753,69.3451,2,0.0,0.0,0,0.0,0.0
2020-02-28,pakistan,,30.3753,69.3451,2,0.0,0.0,0,0.0,0.0
2020-02-29,pakistan,,30.3753,69.3451,4,0.0,0.0,2,0.0,0.0
2020-03-01,pakistan,,30.3753,69.3451,4,0.0,0.0,0,0.0,0.0
2020-03-02,pakistan,,30.3753,69.3451,4,0.0,0.0,0,0.0,0.0
2020-03-03,pakistan,,30.3753,69.3451,5,0.0,0.0,1,0.0,0.0
2020-03-04,pakistan,,30.3753,69.3451,5,0.0,0.0,0,0.0,0.0
2020-03-05,pakistan,,30.3753,69.3451,5,0.0,0.0,0,0.0,0.0
2020-03-06,pakistan,,30.3753,69.3451,6,0.0,0.0,1,0.0,0.0
2020-03-07,pakistan,,30.3753,69.3451,6,0.0,0.0,0,0.0,0.0
2020-03-08,pakistan,,30.3753,69.3451,6,0.0,1.0,0,0.0,1.0
2020-03-09,pakistan,,30.3753,69.3451,6,0.0,1.0,0,0.0,0.0
2020-03-10,pakistan,,30.3753,69.3451,16,0.0,1.0,10,0.0,0.0
2020-03-11,pakistan,,30.3753,69.3451,19,0.0,2.0,3,0.0,1.0
2020-03-12,pakistan,,30.3753,69.3451,20,0.0,2.0,1,0.0,0.0
2020-03-13,pakistan,,30.3753,69.3451,28,0.0,2.0,8,0.0,0.0
2020-03-14,pakistan,,30.3753,69.3451,31,0.0,2.0,3,0.0,0.0
