date,country,state,lat,long,confirmed,deaths,recovered,confirmed_new,deaths_new,recovered_new
2020-01-22,costa-rica,,9.7489,-83.7534,0,0,0.0,0,0,0.0
2020-01-23,costa-rica,,9.7489,-83.7534,0,0,0.0,0,0,0.0
2020-01-24,costa-rica,,9.7489,-83.7534,0,0,0.0,0,0,0.0
2020-01-25,costa-rica,,9.7489,-83.7534,0,0,0.0,0,0,0.0
2020-01-26,costa-rica,,9.7489,-83.7534,0,0,0.0,0,0,0.0
2020-01-27,costa-rica,,9.7489,-83.7534,0,0,0.0,0,0,0.0
2020-01-28,costa-rica,,9.7489,-83.7534,0,0,0.0,0,0,0.0
2020-01-29,costa-rica,,9.7489,-83.7534,0,0,0.0,0,0,0.0
2020-01-30,costa-rica,,9.7489,-83.7534,0,0,0.0,0,0,0.0
2020-01-31,costa-rica,,9.7489,-83.7534,0,0,0.0,0,0,0.0
2020-02-01,costa-rica,,9.7489,-83.7534,0,0,0.0,0,0,0.0
2020-02-02,costa-rica,,9.7489,-83.7534,0,0,0.0,0,0,0.0
2020-02-03,costa-rica,,9.7489,-83.7534,0,0,0.0,0,0,0.0
2020-02-04,costa-rica,,9.7489,-83.7534,0,0,0.0,0,0,0.0
2020-02-05,costa-rica,,9.7489,-83.7534,0,0,0.0,0,0,0.0
2020-02-06,costa-rica,,9.7489,-83.7534,0,0,0.0,0,0,0.0
2020-02-07,costa-rica,,9.7489,-83.7534,0,0,0.0,0,0,0.0
2020-02-08,costa-rica,,9.7489,-83.7534,0,0,0.0,0,0,0.0
2020-02-09,costa-rica,,9.7489,-83.7534,0,0,0.0,0,0,0.0
2020-02-10,costa-rica,,9.7489,-83.7534,0,0,0.0,0,0,0.0
2020-02-11,costa-rica,,9.7489,-83.7534,0,0,0.0,0,0,0.0
2020-02-12,costa-rica,,9.7489,-83.7534,0,0,0.0,0,0,0.0
2020-02-13,costa-rica,,9.7489,-83.7534,0,0,0.0,0,0,0.0
2020-02-14,costa-rica,,9.7489,-83.7534,0,0,0.0,0,0,0.0
2020-02-15,costa-rica,,9.7489,-83.7534,0,0,0.0,0,0,0.0
2020-02-16,costa-rica,,9.7489,-83.7534,0,0,0.0,0,0,0.0
2020-02-17,costa-rica,,9.7489,-83.7534,0,0,0.0,0,0,0.0
2020-02-18,costa-rica,,9.7489,-83.7534,0,0,0.0,0,0,0.0
2020-02-19,costa-rica,,9.7489,-83.7534,0,0,0.0,0,0,0.0
2020-02-20,costa-rica,,9.7489,-83.7534,0,0,0.0,0,0,0.0
2020-02-21,costa-rica,,9.7489,-83.7534,0,0,0.0,0,0,0.0
2020-02-22,costa-rica,,9.7489,-83.7534,0,0,0.0,0,0,0.0
2020-02-23,costa-rica,,9.7489,-83.7534,0,0,0.0,0,0,0.0
2020-02-24,costa-rica,,9.7489,-83.7534,0,0,0.0,0,0,0.0
2020-02-25,costa-rica,,9.7489,-83.7534,0,0,0.0,0,0,0.0
2020-02-26,costa-rica,,9.7489,-83.7534,0,0,0.0,0,0,0.0
2020-02-27,costa-rica,,9.7489,-83.7534,0,0,0.0,0,0,0.0
2020-02-28,costa-rica,,9.7489,-83.7534,0,0,0.0,0,0,0.0
2020-02-29,costa-rica,,9.7489,-83.7534,0,0,0.0,0,0,0.0
2020-03-01,costa-rica,,9.7489,-83.7534,0,0,0.0,0,0,0.0
2020-03-02,costa-rica,,9.7489,-83.7534,0,0,0.0,0,0,0.0
2020-03-03,costa-rica,,9.7489,-83.7534,0,0,0.0,0,0,0.0
2020-03-04,costa-rica,,9.7489,-83.7534,0,0,0.0,0,0,0.0
2020-03-05,costa-rica,,9.7489,-83.7534,0,0,0.0,0,0,0.0
2020-03-06,costa-rica,,9.7489,-83.7534,1,0,0.0,1,0,0.0
2020-03-07,costa-rica,,9.7489,-83.7534,1,0,0.0,0,0,0.0
2020-03-08,costa-rica,,9.7489,-83.7534,5,0,0.0,4,0,0.0
2020-03-09,costa-rica,,9.7489,-83.7534,9,0,0.0,4,0,0.0
2020-03-10,costa-rica,,9.7489,-83.7534,9,0,0.0,0,0,0.0
2020-03-11,costa-rica,,9.7489,-83.7534,13,0,0.0,4,0,0.0
2020-03-12,costa-rica,,9.7489,-83.7534,22,0,0.0,9,0,0.0
2020-03-13,costa-rica,,9.7489,-83.7534,23,0,0.0,1,0,0.0
2020-03-14,costa-rica,,9.7489,-83.7534,26,0,0.0,3,0,0.0
2020-03-15,costa-rica,,9.7489,-83.7534,27,0,0.0,1,0,0.0
2020-03-16,costa-rica,,9.7489,-83.7534,35,0,0.0,8,0,0.0
2020-03-17,costa-rica,,9.7489,-83.7534,41,0,0.0,6,0,0.0
2020-03-18,costa-rica,,9.7489,-83.7534,50,0,0.0,9,0,0.0
2020-03-19,costa-rica,,9.7489,-83.7534,69,1,0.0,19,1,0.0
2020-03-20,costa-rica,,9.7489,-83.7534,89,1,0.0,20,0,0.0
2020-03-21,costa-rica,,9.7489,-83.7534,117,2,2.0,28,1,2.0
2020-03-22,costa-rica,,9.7489,-83.7534,134,2,2.0,17,0,0.0
2020-03-23,costa-rica,,9.7489,-83.7534,158,2,2.0,24,0,0.0
2020-03-24,costa-rica,,9.7489,-83.7534,177,2,2.0,19,0,0.0
2020-03-25,costa-rica,,9.7489,-83.7534,201,2,2.0,24,0,0.0
