country,date,confirmed,deaths,recovered,lat,long
belarus,2020-01-22,0,0,0.0,53.7098,27.9534
belarus,2020-01-23,0,0,0.0,53.7098,27.9534
belarus,2020-01-24,0,0,0.0,53.7098,27.9534
belarus,2020-01-25,0,0,0.0,53.7098,27.9534
belarus,2020-01-26,0,0,0.0,53.7098,27.9534
belarus,2020-01-27,0,0,0.0,53.7098,27.9534
belarus,2020-01-28,0,0,0.0,53.7098,27.9534
belarus,2020-01-29,0,0,0.0,53.7098,27.9534
belarus,2020-01-30,0,0,0.0,53.7098,27.9534
belarus,2020-01-31,0,0,0.0,53.7098,27.9534
belarus,2020-02-01,0,0,0.0,53.7098,27.9534
belarus,2020-02-02,0,0,0.0,53.7098,27.9534
belarus,2020-02-03,0,0,0.0,53.7098,27.9534
belarus,2020-02-04,0,0,0.0,53.7098,27.9534
belarus,2020-02-05,0,0,0.0,53.7098,27.9534
belarus,2020-02-06,0,0,0.0,53.7098,27.9534
belarus,2020-02-07,0,0,0.0,53.7098,27.9534
belarus,2020-02-08,0,0,0.0,53.7098,27.9534
belarus,2020-02-09,0,0,0.0,53.7098,27.9534
belarus,2020-02-10,0,0,0.0,53.7098,27.9534
belarus,2020-02-11,0,0,0.0,53.7098,27.9534
belarus,2020-02-12,0,0,0.0,53.7098,27.9534
belarus,2020-02-13,0,0,0.0,53.7098,27.9534
belarus,2020-02-14,0,0,0.0,53.7098,27.9534
belarus,2020-02-15,0,0,0.0,53.7098,27.9534
belarus,2020-02-16,0,0,0.0,53.7098,27.9534
belarus,2020-02-17,0,0,0.0,53.7098,27.9534
belarus,2020-02-18,0,0,0.0,53.7098,27.9534
belarus,2020-02-19,0,0,0.0,53.7098,27.9534
belarus,2020-02-20,0,0,0.0,53.7098,27.9534
belarus,2020-02-21,0,0,0.0,53.7098,27.9534
belarus,2020-02-22,0,0,0.0,53.7098,27.9534
belarus,2020-02-23,0,0,0.0,53.7098,27.9534
belarus,2020-02-24,0,0,0.0,53.7098,27.9534
belarus,2020-02-25,0,0,0.0,53.7098,27.9534
belarus,2020-02-26,0,0,0.0,53.7098,27.9534
belarus,2020-02-27,0,0,0.0,53.7098,27.9534
belarus,2020-02-28,1,0,0.0,53.7098,27.9534
belarus,2020-02-29,1,0,0.0,53.7098,27.9534
belarus,2020-03-01,1,0,0.0,53.7098,27.9534
belarus,2020-03-02,1,0,0.0,53.7098,27.9534
belarus,2020-03-03,1,0,0.0,53.7098,27.9534
belarus,2020-03-04,6,0,0.0,53.7098,27.9534
belarus,2020-03-05,6,0,0.0,53.7098,27.9534
belarus,2020-03-06,6,0,0.0,53.7098,27.9534
belarus,2020-03-07,6,0,0.0,53.7098,27.9534
belarus,2020-03-08,6,0,0.0,53.7098,27.9534
belarus,2020-03-09,6,0,1.0,53.7098,27.9534
belarus,2020-03-10,9,0,3.0,53.7098,27.9534
belarus,2020-03-11,9,0,3.0,53.7098,27.9534
belarus,2020-03-12,12,0,3.0,53.7098,27.9534
belarus,2020-03-13,27,0,3.0,53.7098,27.9534
belarus,2020-03-14,27,0,3.0,53.7098,27.9534
belarus,2020-03-15,27,0,3.0,53.7098,27.9534
belarus,2020-03-16,36,0,3.0,53.7098,27.9534
belarus,2020-03-17,36,0,3.0,53.7098,27.9534
belarus,2020-03-18,51,0,5.0,53.7098,27.9534
belarus,2020-03-19,51,0,5.0,53.7098,27.9534
belarus,2020-03-20,69,0,5.0,53.7098,27.9534
belarus,2020-03-21,76,0,15.0,53.7098,27.9534
belarus,2020-03-22,76,0,15.0,53.7098,27.9534
belarus,2020-03-23,81,0,15.0,53.7098,27.9534
belarus,2020-03-24,81,0,22.0,53.7098,27.9534
belarus,2020-03-25,86,0,29.0,53.7098,27.9534
belarus,2020-03-26,86,0,29.0,53.7098,27.9534
belarus,2020-03-27,94,0,32.0,53.7098,27.9534
belarus,2020-03-28,94,0,32.0,53.7098,27.9534
belarus,2020-03-29,94,0,32.0,53.7098,27.9534
belarus,2020-03-30,152,0,32.0,53.7098,27.9534
belarus,2020-03-31,152,1,47.0,53.7098,27.9534
belarus,2020-04-01,163,2,53.0,53.7098,27.9534
belarus,2020-04-02,304,4,53.0,53.7098,27.9534
