country,date,confirmed,deaths,recovered,lat,long
india,2020-01-22,0,0,0.0,21.0,78.0
india,2020-01-23,0,0,0.0,21.0,78.0
india,2020-01-24,0,0,0.0,21.0,78.0
india,2020-01-25,0,0,0.0,21.0,78.0
india,2020-01-26,0,0,0.0,21.0,78.0
india,2020-01-27,0,0,0.0,21.0,78.0
india,2020-01-28,0,0,0.0,21.0,78.0
india,2020-01-29,0,0,0.0,21.0,78.0
india,2020-01-30,1,0,0.0,21.0,78.0
india,2020-01-31,1,0,0.0,21.0,78.0
india,2020-02-01,1,0,0.0,21.0,78.0
india,2020-02-02,2,0,0.0,21.0,78.0
india,2020-02-03,3,0,0.0,21.0,78.0
india,2020-02-04,3,0,0.0,21.0,78.0
india,2020-02-05,3,0,0.0,21.0,78.0
india,2020-02-06,3,0,0.0,21.0,78.0
india,2020-02-07,3,0,0.0,21.0,78.0
india,2020-02-08,3,0,0.0,21.0,78.0
india,2020-02-09,3,0,0.0,21.0,78.0
india,2020-02-10,3,0,0.0,21.0,78.0
india,2020-02-11,3,0,0.0,21.0,78.0
india,2020-02-12,3,0,0.0,21.0,78.0
india,2020-02-13,3,0,0.0,21.0,78.0
india,2020-02-14,3,0,0.0,21.0,78.0
india,2020-02-15,3,0,0.0,21.0,78.0
india,2020-02-16,3,0,3.0,21.0,78.0
india,2020-02-17,3,0,3.0,21.0,78.0
india,2020-02-18,3,0,3.0,21.0,78.0
india,2020-02-19,3,0,3.0,21.0,78.0
india,2020-02-20,3,0,3.0,21.0,78.0
india,2020-02-21,3,0,3.0,21.0,78.0
india,2020-02-22,3,0,3.0,21.0,78.0
india,2020-02-23,3,0,3.0,21.0,78.0
india,2020-02-24,3,0,3.0,21.0,78.0
india,2020-02-25,3,0,3.0,21.0,78.0
india,2020-02-26,3,0,3.0,21.0,78.0
india,2020-02-27,3,0,3.0,21.0,78.0
india,2020-02-28,3,0,3.0,21.0,78.0
india,2020-02-29,3,0,3.0,21.0,78.0
india,2020-03-01,3,0,3.0,21.0,78.0
india,2020-03-02,5,0,3.0,21.0,78.0
india,2020-03-03,5,0,3.0,21.0,78.0
india,2020-03-04,28,0,3.0,21.0,78.0
india,2020-03-05,30,0,3.0,21.0,78.0
india,2020-03-06,31,0,3.0,21.0,78.0
india,2020-03-07,34,0,3.0,21.0,78.0
india,2020-03-08,39,0,3.0,21.0,78.0
india,2020-03-09,43,0,3.0,21.0,78.0
india,2020-03-10,56,0,4.0,21.0,78.0
india,2020-03-11,62,1,4.0,21.0,78.0
india,2020-03-12,73,1,4.0,21.0,78.0
india,2020-03-13,82,2,4.0,21.0,78.0
india,2020-03-14,102,2,4.0,21.0,78.0
india,2020-03-15,113,2,13.0,21.0,78.0
india,2020-03-16,119,2,13.0,21.0,78.0
india,2020-03-17,142,3,14.0,21.0,78.0
india,2020-03-18,156,3,14.0,21.0,78.0
india,2020-03-19,194,4,15.0,21.0,78.0
india,2020-03-20,244,5,20.0,21.0,78.0
india,2020-03-21,330,4,23.0,21.0,78.0
india,2020-03-22,396,7,27.0,21.0,78.0
india,2020-03-23,499,10,27.0,21.0,78.0
india,2020-03-24,536,10,40.0,21.0,78.0
india,2020-03-25,657,12,43.0,21.0,78.0
india,2020-03-26,727,20,45.0,21.0,78.0
india,2020-03-27,887,20,73.0,21.0,78.0
india,2020-03-28,987,24,84.0,21.0,78.0
india,2020-03-29,1024,27,95.0,21.0,78.0
india,2020-03-30,1251,32,102.0,21.0,78.0
india,2020-03-31,1397,35,123.0,21.0,78.0
india,2020-04-01,1998,58,148.0,21.0,78.0
india,2020-04-02,2543,72,191.0,21.0,78.0
