date,country,state,lat,long,confirmed,deaths,recovered,confirmed_new,deaths_new,recovered_new
2020-01-22,lebanon,,33.8547,35.8623,0,0,0.0,0,0,0.0
2020-01-23,lebanon,,33.8547,35.8623,0,0,0.0,0,0,0.0
2020-01-24,lebanon,,33.8547,35.8623,0,0,0.0,0,0,0.0
2020-01-25,lebanon,,33.8547,35.8623,0,0,0.0,0,0,0.0
2020-01-26,lebanon,,33.8547,35.8623,0,0,0.0,0,0,0.0
2020-01-27,lebanon,,33.8547,35.8623,0,0,0.0,0,0,0.0
2020-01-28,lebanon,,33.8547,35.8623,0,0,0.0,0,0,0.0
2020-01-29,lebanon,,33.8547,35.8623,0,0,0.0,0,0,0.0
2020-01-30,lebanon,,33.8547,35.8623,0,0,0.0,0,0,0.0
2020-01-31,lebanon,,33.8547,35.8623,0,0,0.0,0,0,0.0
2020-02-01,lebanon,,33.8547,35.8623,0,0,0.0,0,0,0.0
2020-02-02,lebanon,,33.8547,35.8623,0,0,0.0,0,0,0.0
2020-02-03,lebanon,,33.8547,35.8623,0,0,0.0,0,0,0.0
2020-02-04,lebanon,,33.8547,35.8623,0,0,0.0,0,0,0.0
2020-02-05,lebanon,,33.8547,35.8623,0,0,0.0,0,0,0.0
2020-02-06,lebanon,,33.8547,35.8623,0,0,0.0,0,0,0.0
2020-02-07,lebanon,,33.8547,35.8623,0,0,0.0,0,0,0.0
2020-02-08,lebanon,,33.8547,35.8623,0,0,0.0,0,0,0.0
2020-02-09,lebanon,,33.8547,35.8623,0,0,0.0,0,0,0.0
2020-02-10,lebanon,,33.8547,35.8623,0,0,0.0,0,0,0.0
2020-02-11,lebanon,,33.8547,35.8623,0,0,0.0,0,0,0.0
2020-02-12,lebanon,,33.8547,35.8623,0,0,0.0,0,0,0.0
2020-02-13,lebanon,,33.8547,35.8623,0,0,0.0,0,0,0.0
2020-02-14,lebanon,,33.8547,35.8623,0,0,0.0,0,0,0.0
2020-02-15,lebanon,,33.8547,35.8623,0,0,0.0,0,0,0.0
2020-02-16,lebanon,,33.8547,35.8623,0,0,0.0,0,0,0.0
2020-02-17,lebanon,,33.8547,35.8623,0,0,0.0,0,0,0.0
2020-02-18,lebanon,,33.8547,35.8623,0,0,0.0,0,0,0.0
2020-02-19,lebanon,,33.8547,35.8623,0,0,0.0,0,0,0.0
2020-02-20,lebanon,,33.8547,35.8623,0,0,0.0,0,0,0.0
2020-02-21,lebanon,,33.8547,35.8623,1,0,0.0,1,0,0.0
2020-02-22,lebanon,,33.8547,35.8623,1,0,0.0,0,0,0.0
2020-02-23,lebanon,,33.8547,35.8623,1,0,0.0,0,0,0.0
2020-02-24,lebanon,,33.8547,35.8623,1,0,0.0,0,0,0.0
2020-02-25,lebanon,,33.8547,35.8623,1,0,0.0,0,0,0.0
2020-02-26,lebanon,,33.8547,35.8623,2,0,0.0,1,0,0.0
2020-02-27,lebanon,,33.8547,35.8623,2,0,0.0,0,0,0.0
2020-02-28,lebanon,,33.8547,35.8623,2,0,0.0,0,0,0.0
2020-02-29,lebanon,,33.8547,35.8623,4,0,0.0,2,0,0.0
