country,date,confirmed,deaths,recovered,lat,long
switzerland,2020-01-22,0,0,0.0,46.8182,8.2275
switzerland,2020-01-23,0,0,0.0,46.8182,8.2275
switzerland,2020-01-24,0,0,0.0,46.8182,8.2275
switzerland,2020-01-25,0,0,0.0,46.8182,8.2275
switzerland,2020-01-26,0,0,0.0,46.8182,8.2275
switzerland,2020-01-27,0,0,0.0,46.8182,8.2275
switzerland,2020-01-28,0,0,0.0,46.8182,8.2275
switzerland,2020-01-29,0,0,0.0,46.8182,8.2275
switzerland,2020-01-30,0,0,0.0,46.8182,8.2275
switzerland,2020-01-31,0,0,0.0,46.8182,8.2275
switzerland,2020-02-01,0,0,0.0,46.8182,8.2275
switzerland,2020-02-02,0,0,0.0,46.8182,8.2275
switzerland,2020-02-03,0,0,0.0,46.8182,8.2275
switzerland,2020-02-04,0,0,0.0,46.8182,8.2275
switzerland,2020-02-05,0,0,0.0,46.8182,8.2275
switzerland,2020-02-06,0,0,0.0,46.8182,8.2275
switzerland,2020-02-07,0,0,0.0,46.8182,8.2275
switzerland,2020-02-08,0,0,0.0,46.8182,8.2275
switzerland,2020-02-09,0,0,0.0,46.8182,8.2275
switzerland,2020-02-10,0,0,0.0,46.8182,8.2275
switzerland,2020-02-11,0,0,0.0,46.8182,8.2275
switzerland,2020-02-12,0,0,0.0,46.8182,8.2275
switzerland,2020-02-13,0,0,0.0,46.8182,8.2275
switzerland,2020-02-14,0,0,0.0,46.8182,8.2275
switzerland,2020-02-15,0,0,0.0,46.8182,8.2275
switzerland,2020-02-16,0,0,0.0,46.8182,8.2275
switzerland,2020-02-17,0,0,0.0,46.8182,8.2275
switzerland,2020-02-18,0,0,0.0,46.8182,8.2275
switzerland,2020-02-19,0,0,0.0,46.8182,8.2275
switzerland,2020-02-20,0,0,0.0,46.8182,8.2275
switzerland,2020-02-21,0,0,0.0,46.8182,8.2275
switzerland,2020-02-22,0,0,0.0,46.8182,8.2275
switzerland,2020-02-23,0,0,0.0,46.8182,8.2275
switzerland,2020-02-24,0,0,0.0,46.8182,8.2275
switzerland,2020-02-25,1,0,0.0,46.8182,8.2275
switzerland,2020-02-26,1,0,0.0,46.8182,8.2275
switzerland,2020-02-27,8,0,0.0,46.8182,8.2275
switzerland,2020-02-28,8,0,0.0,46.8182,8.2275
switzerland,2020-02-29,18,0,0.0,46.8182,8.2275
switzerland,2020-03-01,27,0,0.0,46.8182,8.2275
switzerland,2020-03-02,42,0,0.0,46.8182,8.2275
switzerland,2020-03-03,56,0,2.0,46.8182,8.2275
switzerland,2020-03-04,90,0,3.0,46.8182,8.2275
switzerland,2020-03-05,114,1,3.0,46.8182,8.2275
switzerland,2020-03-06,214,1,3.0,46.8182,8.2275
switzerland,2020-03-07,268,1,3.0,46.8182,8.2275
switzerland,2020-03-08,337,2,3.0,46.8182,8.2275
switzerland,2020-03-09,374,2,3.0,46.8182,8.2275
switzerland,2020-03-10,491,3,3.0,46.8182,8.2275
switzerland,2020-03-11,652,4,4.0,46.8182,8.2275
switzerland,2020-03-12,652,4,4.0,46.8182,8.2275
switzerland,2020-03-13,1139,11,4.0,46.8182,8.2275
switzerland,2020-03-14,1359,13,4.0,46.8182,8.2275
switzerland,2020-03-15,2200,14,4.0,46.8182,8.2275
switzerland,2020-03-16,2200,14,4.0,46.8182,8.2275
switzerland,2020-03-17,2700,27,4.0,46.8182,8.2275
switzerland,2020-03-18,3028,28,15.0,46.8182,8.2275
switzerland,2020-03-19,4075,41,15.0,46.8182,8.2275
switzerland,2020-03-20,5294,54,15.0,46.8182,8.2275
switzerland,2020-03-21,6575,75,15.0,46.8182,8.2275
switzerland,2020-03-22,7474,98,131.0,46.8182,8.2275
switzerland,2020-03-23,8795,120,131.0,46.8182,8.2275
switzerland,2020-03-24,9877,122,131.0,46.8182,8.2275
switzerland,2020-03-25,10897,153,131.0,46.8182,8.2275
switzerland,2020-03-26,11811,191,131.0,46.8182,8.2275
switzerland,2020-03-27,12928,231,1530.0,46.8182,8.2275
