date,country,state,lat,long,confirmed,deaths,recovered,confirmed_new,deaths_new,recovered_new
2020-01-22,portugal,,39.3999,-8.2245,0,0.0,0.0,0,0.0,0.0
2020-01-23,portugal,,39.3999,-8.2245,0,0.0,0.0,0,0.0,0.0
2020-01-24,portugal,,39.3999,-8.2245,0,0.0,0.0,0,0.0,0.0
2020-01-25,portugal,,39.3999,-8.2245,0,0.0,0.0,0,0.0,0.0
2020-01-26,portugal,,39.3999,-8.2245,0,0.0,0.0,0,0.0,0.0
2020-01-27,portugal,,39.3999,-8.2245,0,0.0,0.0,0,0.0,0.0
2020-01-28,portugal,,39.3999,-8.2245,0,0.0,0.0,0,0.0,0.0
2020-01-29,portugal,,39.3999,-8.2245,0,0.0,0.0,0,0.0,0.0
2020-01-30,portugal,,39.3999,-8.2245,0,0.0,0.0,0,0.0,0.0
2020-01-31,portugal,,39.3999,-8.2245,0,0.0,0.0,0,0.0,0.0
2020-02-01,portugal,,39.3999,-8.2245,0,0.0,0.0,0,0.0,0.0
2020-02-02,portugal,,39.3999,-8.2245,0,0.0,0.0,0,0.0,0.0
2020-02-03,portugal,,39.3999,-8.2245,0,0.0,0.0,0,0.0,0.0
2020-02-04,portugal,,39.3999,-8.2245,0,0.0,0.0,0,0.0,0.0
2020-02-05,portugal,,39.3999,-8.2245,0,0.0,0.0,0,0.0,0.0
2020-02-06,portugal,,39.3999,-8.2245,0,0.0,0.0,0,0.0,0.0
2020-02-07,portugal,,39.3999,-8.2245,0,0.0,0.0,0,0.0,0.0
2020-02-08,portugal,,39.3999,-8.2245,0,0.0,0.0,0,0.0,0.0
2020-02-09,portugal,,39.3999,-8.2245,0,0.0,0.0,0,0.0,0.0
2020-02-10,portugal,,39.3999,-8.2245,0,0.0,0.0,0,0.0,0.0
2020-02-11,portugal,,39.3999,-8.2245,0,0.0,0.0,0,0.0,0.0
2020-02-12,portugal,,39.3999,-8.2245,0,0.0,0.0,0,0.0,0.0
2020-02-13,portugal,,39.3999,-8.2245,0,0.0,0.0,0,0.0,0.0
2020-02-14,portugal,,39.3999,-8.2245,0,0.0,0.0,0,0.0,0.0
2020-02-15,portugal,,39.3999,-8.2245,0,0.0,0.0,0,0.0,0.0
2020-02-16,portugal,,39.3999,-8.2245,0,0.0,0.0,0,0.0,0.0
2020-02-17,portugal,,39.3999,-8.2245,0,0.0,0.0,0,0.0,0.0
2020-02-18,portugal,,39.3999,-8.2245,0,0.0,0.0,0,0.0,0.0
2020-02-19,portugal,,39.3999,-8.2245,0,0.0,0.0,0,0.0,0.0
2020-02-20,portugal,,39.3999,-8.2245,0,0.0,0.0,0,0.0,0.0
2020-02-21,portugal,,39.3999,-8.2245,0,0.0,0.0,0,0.0,0.0
2020-02-22,portugal,,39.3999,-8.2245,0,0.0,0.0,0,0.0,0.0
2020-02-23,portugal,,39.3999,-8.2245,0,0.0,0.0,0,0.0,0.0
2020-02-24,portugal,,39.3999,-8.2245,0,0.0,0.0,0,0.0,0.0
2020-02-25,portugal,,39.3999,-8.2245,0,0.0,0.0,0,0.0,0.0
2020-02-26,portugal,,39.3999,-8.2245,0,0.0,0.0,0,0.0,0.0
2020-02-27,portugal,,39.3999,-8.2245,0,0.0,0.0,0,0.0,0.0
2020-02-28,portugal,,39.3999,-8.2245,0,0.0,0.0,0,0.0,0.0
2020-02-29,portugal,,39.3999,-8.2245,0,0.0,0.0,0,0.0,0.0
2020-03-01,portugal,,39.3999,-8.2245,0,0.0,0.0,0,0.0,0.0
2020-03-02,portugal,,39.3999,-8.2245,2,0.0,0.0,2,0.0,0.0
2020-03-03,portugal,,39.3999,-8.2245,2,0.0,0.0,0,0.0,0.0
2020-03-04,portugal,,39.3999,-8.2245,5,0.0,0.0,3,0.0,0.0
2020-03-05,portugal,,39.3999,-8.2245,8,0.0,0.0,3,0.0,0.0
2020-03-06,portugal,,39.3999,-8.2245,13,0.0,0.0,5,0.0,0.0
2020-03-07,portugal,,39.3999,-8.2245,20,0.0,0.0,7,0.0,0.0
2020-03-08,portugal,,39.3999,-8.2245,30,0.0,0.0,10,0.0,0.0
2020-03-09,portugal,,39.3999,-8.2245,30,0.0,0.0,0,0.0,0.0
2020-03-10,portugal,,39.3999,-8.2245,41,0.0,0.0,11,0.0,0.0
2020-03-11,portugal,,39.3999,-8.2245,59,0.0,0.0,18,0.0,0.0
2020-03-12,portugal,,39.3999,-8.2245,59,0.0,0.0,0,0.0,0.0
2020-03-13,portugal,,39.3999,-8.2245,112,0.0,1.0,53,0.0,1.0
2020-03-14,portugal,,39.3999,-8.2245,169,0.0,2.0,57,0.0,1.0
2020-03-15,portugal,,39.3999,-8.2245,245,0.0,2.0,76,0.0,0.0
2020-03-16,portugal,,39.3999,-8.2245,331,0.0,3.0,86,0.0,1.0
2020-03-17,portugal,,39.3999,-8.2245,448,1.0,3.0,117,1.0,0.0
2020-03-18,portugal,,39.3999,-8.2245,448,2.0,3.0,0,1.0,0.0
2020-03-19,portugal,,39.3999,-8.2245,785,3.0,3.0,337,1.0,0.0
2020-03-20,portugal,,39.3999,-8.2245,1020,6.0,5.0,235,3.0,2.0
2020-03-21,portugal,,39.3999,-8.2245,1280,12.0,5.0,260,6.0,0.0
2020-03-22,portugal,,39.3999,-8.2245,1600,14.0,5.0,320,2.0,0.0
2020-03-23,portugal,,39.3999,-8.2245,2060,23.0,5.0,460,9.0,0.0
2020-03-24,portugal,,39.3999,-8.2245,2362,33.0,22.0,302,10.0,17.0
2020-03-25,portugal,,39.3999,-8.2245,2995,43.0,22.0,633,10.0,0.0
2020-03-26,portugal,,39.3999,-8.2245,3544,60.0,43.0,549,17.0,21.0
2020-03-27,portugal,,39.3999,-8.2245,4268,76.0,43.0,724,16.0,0.0
2020-03-28,portugal,,39.3999,-8.2245,5170,100.0,43.0,902,24.0,0.0
2020-03-29,portugal,,39.3999,-8.2245,5962,119.0,43.0,792,19.0,0.0
2020-03-30,portugal,,39.3999,-8.2245,6408,140.0,43.0,446,21.0,0.0
2020-03-31,portugal,,39.3999,-8.2245,7443,160.0,43.0,1035,20.0,0.0
