country,date,confirmed,deaths,recovered,confirmed_new,deaths_new,recovered_new,lat,long
italy,2020-01-22,0,0,0.0,0,0,0.0,43.0,12.0
italy,2020-01-23,0,0,0.0,0,0,0.0,43.0,12.0
italy,2020-01-24,0,0,0.0,0,0,0.0,43.0,12.0
italy,2020-01-25,0,0,0.0,0,0,0.0,43.0,12.0
italy,2020-01-26,0,0,0.0,0,0,0.0,43.0,12.0
italy,2020-01-27,0,0,0.0,0,0,0.0,43.0,12.0
italy,2020-01-28,0,0,0.0,0,0,0.0,43.0,12.0
italy,2020-01-29,0,0,0.0,0,0,0.0,43.0,12.0
italy,2020-01-30,0,0,0.0,0,0,0.0,43.0,12.0
italy,2020-01-31,2,0,0.0,2,0,0.0,43.0,12.0
italy,2020-02-01,2,0,0.0,0,0,0.0,43.0,12.0
italy,2020-02-02,2,0,0.0,0,0,0.0,43.0,12.0
italy,2020-02-03,2,0,0.0,0,0,0.0,43.0,12.0
italy,2020-02-04,2,0,0.0,0,0,0.0,43.0,12.0
italy,2020-02-05,2,0,0.0,0,0,0.0,43.0,12.0
italy,2020-02-06,2,0,0.0,0,0,0.0,43.0,12.0
italy,2020-02-07,3,0,0.0,1,0,0.0,43.0,12.0
italy,2020-02-08,3,0,0.0,0,0,0.0,43.0,12.0
italy,2020-02-09,3,0,0.0,0,0,0.0,43.0,12.0
italy,2020-02-10,3,0,0.0,0,0,0.0,43.0,12.0
italy,2020-02-11,3,0,0.0,0,0,0.0,43.0,12.0
italy,2020-02-12,3,0,0.0,0,0,0.0,43.0,12.0
italy,2020-02-13,3,0,0.0,0,0,0.0,43.0,12.0
italy,2020-02-14,3,0,0.0,0,0,0.0,43.0,12.0
italy,2020-02-15,3,0,0.0,0,0,0.0,43.0,12.0
italy,2020-02-16,3,0,0.0,0,0,0.0,43.0,12.0
italy,2020-02-17,3,0,0.0,0,0,0.0,43.0,12.0
italy,2020-02-18,3,0,0.0,0,0,0.0,43.0,12.0
italy,2020-02-19,3,0,0.0,0,0,0.0,43.0,12.0
italy,2020-02-20,3,0,0.0,0,0,0.0,43.0,12.0
italy,2020-02-21,20,1,0.0,17,1,0.0,43.0,12.0
italy,2020-02-22,62,2,1.0,42,1,1.0,43.0,12.0
italy,2020-02-23,155,3,2.0,93,1,1.0,43.0,12.0
italy,2020-02-24,229,7,1.0,74,4,-1.0,43.0,12.0
italy,2020-02-25,322,10,1.0,93,3,0.0,43.0,12.0
italy,2020-02-26,453,12,3.0,131,2,2.0,43.0,12.0
italy,2020-02-27,655,17,45.0,202,5,42.0,43.0,12.0
italy,2020-02-28,888,21,46.0,233,4,1.0,43.0,12.0
italy,2020-02-29,1128,29,46.0,240,8,0.0,43.0,12.0
italy,2020-03-01,1694,34,83.0,566,5,37.0,43.0,12.0
italy,2020-03-02,2036,52,149.0,342,18,66.0,43.0,12.0
italy,2020-03-03,2502,79,160.0,466,27,11.0,43.0,12.0
italy,2020-03-04,3089,107,276.0,587,28,116.0,43.0,12.0
italy,2020-03-05,3858,148,414.0,769,41,138.0,43.0,12.0
italy,2020-03-06,4636,197,523.0,778,49,109.0,43.0,12.0
italy,2020-03-07,5883,233,589.0,1247,36,66.0,43.0,12.0
italy,2020-03-08,7375,366,622.0,1492,133,33.0,43.0,12.0
italy,2020-03-09,9172,463,724.0,1797,97,102.0,43.0,12.0
italy,2020-03-10,10149,631,724.0,977,168,0.0,43.0,12.0
italy,2020-03-11,12462,827,1045.0,2313,196,321.0,43.0,12.0
italy,2020-03-12,12462,827,1045.0,0,0,0.0,43.0,12.0
italy,2020-03-13,17660,1266,1439.0,5198,439,394.0,43.0,12.0
italy,2020-03-14,21157,1441,1966.0,3497,175,527.0,43.0,12.0
italy,2020-03-15,24747,1809,2335.0,3590,368,369.0,43.0,12.0
italy,2020-03-16,27980,2158,2749.0,3233,349,414.0,43.0,12.0
italy,2020-03-17,31506,2503,2941.0,3526,345,192.0,43.0,12.0
italy,2020-03-18,35713,2978,4025.0,4207,475,1084.0,43.0,12.0
italy,2020-03-19,41035,3405,4440.0,5322,427,415.0,43.0,12.0
italy,2020-03-20,47021,4032,4440.0,5986,627,0.0,43.0,12.0
italy,2020-03-21,53578,4825,6072.0,6557,793,1632.0,43.0,12.0
italy,2020-03-22,59138,5476,7024.0,5560,651,952.0,43.0,12.0
italy,2020-03-23,63927,6077,7024.0,4789,601,0.0,43.0,12.0
italy,2020-03-24,69176,6820,8326.0,5249,743,1302.0,43.0,12.0
italy,2020-03-25,74386,7503,9362.0,5210,683,1036.0,43.0,12.0
italy,2020-03-26,80589,8215,10361.0,6203,712,999.0,43.0,12.0
italy,2020-03-27,86498,9134,10950.0,5909,919,589.0,43.0,12.0
italy,2020-03-28,92472,10023,12384.0,5974,889,1434.0,43.0,12.0
italy,2020-03-29,97689,10779,13030.0,5217,756,646.0,43.0,12.0
italy,2020-03-30,101739,11591,14620.0,4050,812,1590.0,43.0,12.0
italy,2020-03-31,105792,12428,15729.0,4053,837,1109.0,43.0,12.0
italy,2020-04-01,110574,13155,16847.0,4782,727,1118.0,43.0,12.0
italy,2020-04-02,115242,13915,18278.0,4668,760,1431.0,43.0,12.0
