date,country,state,lat,long,UID,iso2,iso3,code3,FIPS,region,Combined_Key,confirmed,confirmed_new,deaths,deaths_new
2020-01-22,US,Nevada,39.01777974,-119.18704790000001,84032019.0,US,USA,840,32019.0,Lyon,"Lyon, Nevada, US",0,0,0,0
2020-01-23,US,Nevada,39.01777974,-119.18704790000001,84032019.0,US,USA,840,32019.0,Lyon,"Lyon, Nevada, US",0,0,0,0
2020-01-24,US,Nevada,39.01777974,-119.18704790000001,84032019.0,US,USA,840,32019.0,Lyon,"Lyon, Nevada, US",0,0,0,0
2020-01-25,US,Nevada,39.01777974,-119.18704790000001,84032019.0,US,USA,840,32019.0,Lyon,"Lyon, Nevada, US",0,0,0,0
2020-01-26,US,Nevada,39.01777974,-119.18704790000001,84032019.0,US,USA,840,32019.0,Lyon,"Lyon, Nevada, US",0,0,0,0
2020-01-27,US,Nevada,39.01777974,-119.18704790000001,84032019.0,US,USA,840,32019.0,Lyon,"Lyon, Nevada, US",0,0,0,0
2020-01-28,US,Nevada,39.01777974,-119.18704790000001,84032019.0,US,USA,840,32019.0,Lyon,"Lyon, Nevada, US",0,0,0,0
2020-01-29,US,Nevada,39.01777974,-119.18704790000001,84032019.0,US,USA,840,32019.0,Lyon,"Lyon, Nevada, US",0,0,0,0
2020-01-30,US,Nevada,39.01777974,-119.18704790000001,84032019.0,US,USA,840,32019.0,Lyon,"Lyon, Nevada, US",0,0,0,0
2020-01-31,US,Nevada,39.01777974,-119.18704790000001,84032019.0,US,USA,840,32019.0,Lyon,"Lyon, Nevada, US",0,0,0,0
2020-02-01,US,Nevada,39.01777974,-119.18704790000001,84032019.0,US,USA,840,32019.0,Lyon,"Lyon, Nevada, US",0,0,0,0
2020-02-02,US,Nevada,39.01777974,-119.18704790000001,84032019.0,US,USA,840,32019.0,Lyon,"Lyon, Nevada, US",0,0,0,0
2020-02-03,US,Nevada,39.01777974,-119.18704790000001,84032019.0,US,USA,840,32019.0,Lyon,"Lyon, Nevada, US",0,0,0,0
2020-02-04,US,Nevada,39.01777974,-119.18704790000001,84032019.0,US,USA,840,32019.0,Lyon,"Lyon, Nevada, US",0,0,0,0
2020-02-05,US,Nevada,39.01777974,-119.18704790000001,84032019.0,US,USA,840,32019.0,Lyon,"Lyon, Nevada, US",0,0,0,0
2020-02-06,US,Nevada,39.01777974,-119.18704790000001,84032019.0,US,USA,840,32019.0,Lyon,"Lyon, Nevada, US",0,0,0,0
2020-02-07,US,Nevada,39.01777974,-119.18704790000001,84032019.0,US,USA,840,32019.0,Lyon,"Lyon, Nevada, US",0,0,0,0
2020-02-08,US,Nevada,39.01777974,-119.18704790000001,84032019.0,US,USA,840,32019.0,Lyon,"Lyon, Nevada, US",0,0,0,0
2020-02-09,US,Nevada,39.01777974,-119.18704790000001,84032019.0,US,USA,840,32019.0,Lyon,"Lyon, Nevada, US",0,0,0,0
2020-02-10,US,Nevada,39.01777974,-119.18704790000001,84032019.0,US,USA,840,32019.0,Lyon,"Lyon, Nevada, US",0,0,0,0
2020-02-11,US,Nevada,39.01777974,-119.18704790000001,84032019.0,US,USA,840,32019.0,Lyon,"Lyon, Nevada, US",0,0,0,0
2020-02-12,US,Nevada,39.01777974,-119.18704790000001,84032019.0,US,USA,840,32019.0,Lyon,"Lyon, Nevada, US",0,0,0,0
2020-02-13,US,Nevada,39.01777974,-119.18704790000001,84032019.0,US,USA,840,32019.0,Lyon,"Lyon, Nevada, US",0,0,0,0
2020-02-14,US,Nevada,39.01777974,-119.18704790000001,84032019.0,US,USA,840,32019.0,Lyon,"Lyon, Nevada, US",0,0,0,0
2020-02-15,US,Nevada,39.01777974,-119.18704790000001,84032019.0,US,USA,840,32019.0,Lyon,"Lyon, Nevada, US",0,0,0,0
2020-02-16,US,Nevada,39.01777974,-119.18704790000001,84032019.0,US,USA,840,32019.0,Lyon,"Lyon, Nevada, US",0,0,0,0
2020-02-17,US,Nevada,39.01777974,-119.18704790000001,84032019.0,US,USA,840,32019.0,Lyon,"Lyon, Nevada, US",0,0,0,0
2020-02-18,US,Nevada,39.01777974,-119.18704790000001,84032019.0,US,USA,840,32019.0,Lyon,"Lyon, Nevada, US",0,0,0,0
2020-02-19,US,Nevada,39.01777974,-119.18704790000001,84032019.0,US,USA,840,32019.0,Lyon,"Lyon, Nevada, US",0,0,0,0
2020-02-20,US,Nevada,39.01777974,-119.18704790000001,84032019.0,US,USA,840,32019.0,Lyon,"Lyon, Nevada, US",0,0,0,0
2020-02-21,US,Nevada,39.01777974,-119.18704790000001,84032019.0,US,USA,840,32019.0,Lyon,"Lyon, Nevada, US",0,0,0,0
2020-02-22,US,Nevada,39.01777974,-119.18704790000001,84032019.0,US,USA,840,32019.0,Lyon,"Lyon, Nevada, US",0,0,0,0
2020-02-23,US,Nevada,39.01777974,-119.18704790000001,84032019.0,US,USA,840,32019.0,Lyon,"Lyon, Nevada, US",0,0,0,0
2020-02-24,US,Nevada,39.01777974,-119.18704790000001,84032019.0,US,USA,840,32019.0,Lyon,"Lyon, Nevada, US",0,0,0,0
2020-02-25,US,Nevada,39.01777974,-119.18704790000001,84032019.0,US,USA,840,32019.0,Lyon,"Lyon, Nevada, US",0,0,0,0
2020-02-26,US,Nevada,39.01777974,-119.18704790000001,84032019.0,US,USA,840,32019.0,Lyon,"Lyon, Nevada, US",0,0,0,0
2020-02-27,US,Nevada,39.01777974,-119.18704790000001,84032019.0,US,USA,840,32019.0,Lyon,"Lyon, Nevada, US",0,0,0,0
2020-02-28,US,Nevada,39.01777974,-119.18704790000001,84032019.0,US,USA,840,32019.0,Lyon,"Lyon, Nevada, US",0,0,0,0
2020-02-29,US,Nevada,39.01777974,-119.18704790000001,84032019.0,US,USA,840,32019.0,Lyon,"Lyon, Nevada, US",0,0,0,0
2020-03-01,US,Nevada,39.01777974,-119.18704790000001,84032019.0,US,USA,840,32019.0,Lyon,"Lyon, Nevada, US",0,0,0,0
2020-03-02,US,Nevada,39.01777974,-119.18704790000001,84032019.0,US,USA,840,32019.0,Lyon,"Lyon, Nevada, US",0,0,0,0
2020-03-03,US,Nevada,39.01777974,-119.18704790000001,84032019.0,US,USA,840,32019.0,Lyon,"Lyon, Nevada, US",0,0,0,0
2020-03-04,US,Nevada,39.01777974,-119.18704790000001,84032019.0,US,USA,840,32019.0,Lyon,"Lyon, Nevada, US",0,0,0,0
2020-03-05,US,Nevada,39.01777974,-119.18704790000001,84032019.0,US,USA,840,32019.0,Lyon,"Lyon, Nevada, US",0,0,0,0
2020-03-06,US,Nevada,39.01777974,-119.18704790000001,84032019.0,US,USA,840,32019.0,Lyon,"Lyon, Nevada, US",0,0,0,0
