state,country,lat,long,date,confirmed,deaths,recovered
queensland,australia,-28.0167,153.4,2020-01-22,0,0,0.0
queensland,australia,-28.0167,153.4,2020-01-23,0,0,0.0
queensland,australia,-28.0167,153.4,2020-01-24,0,0,0.0
queensland,australia,-28.0167,153.4,2020-01-25,0,0,0.0
queensland,australia,-28.0167,153.4,2020-01-26,0,0,0.0
queensland,australia,-28.0167,153.4,2020-01-27,0,0,0.0
queensland,australia,-28.0167,153.4,2020-01-28,0,0,0.0
queensland,australia,-28.0167,153.4,2020-01-29,1,0,0.0
queensland,australia,-28.0167,153.4,2020-01-30,3,0,0.0
queensland,australia,-28.0167,153.4,2020-01-31,2,0,0.0
queensland,australia,-28.0167,153.4,2020-02-01,3,0,0.0
queensland,australia,-28.0167,153.4,2020-02-02,2,0,0.0
queensland,australia,-28.0167,153.4,2020-02-03,2,0,0.0
queensland,australia,-28.0167,153.4,2020-02-04,3,0,0.0
queensland,australia,-28.0167,153.4,2020-02-05,3,0,0.0
queensland,australia,-28.0167,153.4,2020-02-06,4,0,0.0
queensland,australia,-28.0167,153.4,2020-02-07,5,0,0.0
queensland,australia,-28.0167,153.4,2020-02-08,5,0,0.0
queensland,australia,-28.0167,153.4,2020-02-09,5,0,0.0
queensland,australia,-28.0167,153.4,2020-02-10,5,0,0.0
queensland,australia,-28.0167,153.4,2020-02-11,5,0,0.0
queensland,australia,-28.0167,153.4,2020-02-12,5,0,0.0
queensland,australia,-28.0167,153.4,2020-02-13,5,0,0.0
queensland,australia,-28.0167,153.4,2020-02-14,5,0,0.0
queensland,australia,-28.0167,153.4,2020-02-15,5,0,0.0
queensland,australia,-28.0167,153.4,2020-02-16,5,0,0.0
queensland,australia,-28.0167,153.4,2020-02-17,5,0,0.0
queensland,australia,-28.0167,153.4,2020-02-18,5,0,0.0
queensland,australia,-28.0167,153.4,2020-02-19,5,0,0.0
queensland,australia,-28.0167,153.4,2020-02-20,5,0,0.0
queensland,australia,-28.0167,153.4,2020-02-21,5,0,1.0
queensland,australia,-28.0167,153.4,2020-02-22,5,0,1.0
queensland,australia,-28.0167,153.4,2020-02-23,5,0,1.0
queensland,australia,-28.0167,153.4,2020-02-24,5,0,1.0
queensland,australia,-28.0167,153.4,2020-02-25,5,0,1.0
queensland,australia,-28.0167,153.4,2020-02-26,5,0,1.0
queensland,australia,-28.0167,153.4,2020-02-27,5,0,1.0
queensland,australia,-28.0167,153.4,2020-02-28,5,0,1.0
queensland,australia,-28.0167,153.4,2020-02-29,9,0,1.0
queensland,australia,-28.0167,153.4,2020-03-01,9,0,1.0
queensland,australia,-28.0167,153.4,2020-03-02,9,0,1.0
queensland,australia,-28.0167,153.4,2020-03-03,11,0,1.0
queensland,australia,-28.0167,153.4,2020-03-04,11,0,1.0
queensland,australia,-28.0167,153.4,2020-03-05,13,0,8.0
queensland,australia,-28.0167,153.4,2020-03-06,13,0,8.0
queensland,australia,-28.0167,153.4,2020-03-07,13,0,8.0
queensland,australia,-28.0167,153.4,2020-03-08,15,0,8.0
queensland,australia,-28.0167,153.4,2020-03-09,15,0,8.0
queensland,australia,-28.0167,153.4,2020-03-10,18,0,8.0
queensland,australia,-28.0167,153.4,2020-03-11,20,0,8.0
queensland,australia,-28.0167,153.4,2020-03-12,20,0,8.0
queensland,australia,-28.0167,153.4,2020-03-13,35,0,8.0
queensland,australia,-28.0167,153.4,2020-03-14,46,0,8.0
queensland,australia,-28.0167,153.4,2020-03-15,61,0,8.0
queensland,australia,-28.0167,153.4,2020-03-16,68,0,8.0
queensland,australia,-28.0167,153.4,2020-03-17,78,0,8.0
queensland,australia,-28.0167,153.4,2020-03-18,94,0,8.0
queensland,australia,-28.0167,153.4,2020-03-19,144,0,8.0
queensland,australia,-28.0167,153.4,2020-03-20,184,0,8.0
queensland,australia,-28.0167,153.4,2020-03-21,221,0,8.0
queensland,australia,-28.0167,153.4,2020-03-22,259,0,8.0
queensland,australia,-28.0167,153.4,2020-03-23,319,0,8.0
queensland,australia,-28.0167,153.4,2020-03-24,397,0,8.0
queensland,australia,-28.0167,153.4,2020-03-25,443,0,8.0
queensland,australia,-28.0167,153.4,2020-03-26,493,1,8.0
queensland,australia,-28.0167,153.4,2020-03-27,555,1,8.0
